 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
 MZ2  1969    -4 -17  20  -2 -30  -8  14   5  43  -5 -21   7    0.2
 MZ2  1970   -17 -14 -21  12 -36   0  41  21  35   8  -3 -11    1.3
 MZ2  1971   -32  -8 -12 -14  -5   0 -17  -3  15  14 -13  -6   -6.8
 MZ2  1972   -13 -37  29   4  -7 -30   5 -12  20   5   5 -23   -4.5
 MZ2  1973   -11  -7  11  -2  25   1 -25 -23 -15   8  14 -29   -4.4
 MZ2  1974   -36   3 -37 -43  -5 -33  10 -51 -45 -24   1  -5  -22.1
 MZ2  1975   -38   2  16  27  33 -31  22  22  -9  -8  -6 -17    1.1
 MZ2  1976    -8 -30  14 -22  12 -13  15 -26 -67 -27 -31  -8  -15.9
 MZ2  1977    -1  -1   0  -7 -25 -15 -22 -34 -65   5  20   0  -12.1
 MZ2  1978     2  -1  22  -9 -18 -67   1  24 -21  -5  29 -11   -4.5
 MZ2  1979    20  26 -35  23  -6   0  10 -32   6 -10  20  24    3.8
 MZ2  1980    10  10  -3 -24   5 -19  -8  29  63  22   7 -36    4.7
 MZ2  1981     3  13   7  24 -13 -19   3 -56  13  -1  -2  23   -0.4
 MZ2  1982    22  13   4 -38  36 -41   8  25   0 -19  43   6    4.9
 MZ2  1983    33 -11  29   2   0   4 -23  -7  10 -10   2  -8    1.8
 MZ2  1984     5 -12   2   6 -12  18   4  22 -33   9  17   7    2.8
 MZ2  1985    36  11 -33   8 -43   6  -4   4  18 -40 -19  -3   -4.9
 MZ2  1986    10  -3 -21  34   4  42  -1 -54 -37 -18 -12 -11   -5.6
 MZ2  1987    19   3 -34   4  18   7 -23  16   7  23 -10  18    4.0
 MZ2  1988     7   4   5 -20  12   7  32  26   5  83  10  18   15.8
 MZ2  1989   -17  -7  14  -7 -36  -3  -1 -22 -39   6  -6   6   -9.3
 MZ2  1990    10   2  -5  28  49  -7  10  -5 -27  -6  -9  24    5.3
 MZ2  1991    19   8 -22  -2 -10 -45  14  58  13   4 -28 -30   -1.8
 MZ2  1992    -6   6  18 -41 -45  -8  17 -11 -58 -46 -26 -31  -19.3
 MZ2  1993     9 -15  -7 -26   0  56  20 -16 -39  32 -25 -24   -2.9
 MZ2  1994    21  -2 -35  25   9 -10   8  50 -10 -14  60 -12    7.5
 MZ2  1995    -4 -26  35  -8   8 -39  33  -2  15  -5  -6  35    3.0
 MZ2  1996   -31  -2 -16  22   7  -4 -40  -7  38  25  15   1    0.7
 MZ2  1997   -35   1 -26  13  10 -23   9   2 -42   5  33  27   -2.2
 MZ2  1998     9  40  49  25  -1  10  40  -1  19  55 -24   5   18.8
 MZ2  1999   -33   4  20 -11  25  -6 -11  -1  -9  12  -4 -17   -2.6
 MZ2  2000   -24  10 -31   6  40  29  16 -14   6  35 -38  27    5.2
 MZ2  2001   -13   4   9  13   0  18 -36   6  -3 -15   0   1   -1.3
 MZ2  2002   -19  -9  35 -26  22  30 -24  -4  50  -2 -11   5    3.9
 MZ2  2003    -8  11  -5 -47  14  39   4 -27   9 -10   3   6   -0.9
 MZ2  2004     1  16   0 -12  10  38  -8 -30  19 -20  16 -25    0.4
 MZ2  2005    -2   4 -15 -23   4 -22  21  20  -6 -30 -24  -5   -6.5
 MZ2  2006    16  -4 -23  23 -25 -29  -9 -12  15  -7  37 -39   -4.8
 MZ2  2007   -14 -28  31 -28  36 -13 -25   4 -11  22 -20 -14   -5.0
 MZ2  2008    -7   5  -4 -13 -43   4  -3 -25  21  14  37  -8   -1.8
 MZ2  2009     4 -15   5  24 -39 -37  11  57   8 -47   3   5   -1.8
 MZ2  2010   -21  -3  11  24 -39 -22 -30 -11  47 -18 -18  16   -5.3
 MZ2  2011   -20   0   4 -29  30 -13  30 -34  -5 -15   4 -18   -5.5
 MZ2  2012    -3 -10 -23 -11  -7  -3   3 -20  30  13 -21  17   -2.9
 MZ2  2013    17 -19 -11  -5 -17 -42  26   5 -15  49 -33  -9   -4.5
 MZ2  2014     4  -8 -27 -33  34  21  -5 -16 -27  10  25  -4   -2.2
 MZ2  2015   -15  -6  -3   8  33  24  15  10 -55  11   5 -20    0.6
 MZ2  2016   -24  28   5   6  47  13  39 -20 -30  -4  16   4    6.7
 MZ2  2017    24   5 -35 -21 -15 -19 -23  15   8 -16 -24 -14   -9.6
 MZ2  2018   -10  10   5  -1  13 -46  62   1 -41 -31 -20 -44   -8.5
 MZ2  2019    -3  11  13 -32  38 -21  28  14 -18 -16  35  20    5.8
 MZ2  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
 MZ3  1944     9 -21  -6 -20  12  47  12  10  55  -9  12  19   10.0
 MZ3  1945   -18 -23  35  33  20  45  16 -23 -11  16  43  58   15.9
 MZ3  1946    40  32 -15 -16 -56 -34 -33  36 -13  12  53  24    2.5
 MZ3  1947    20   9 -20 -43 -10  25 -33 -23  26 -15 -33 -18   -9.6
 MZ3  1948   -10   6   9  -2 -34  -6 -22  -1  11  20 -11  35   -0.4
 MZ3  1949     6  10  26  -4 -49  19  45   9   6   6 -32  -4    3.2
 MZ3  1950    14  15  26  -9 -40  34  16   0  -6 -59 -25  17   -1.4
 MZ3  1951    -9 -25  21 -15  -6  25 -14   1  13   4  25  50    5.8
 MZ3  1952    30 -40  38 -18  57  32  36 -92  -6 -21 -50 -37   -5.9
 MZ3  1953   -22  35   6  41 -20 -29  22 -57  28 -15  23   2    1.2
 MZ3  1954    16   7 -50  -3 -25  17  23  -5  -5  -9  -2  -7   -3.6
 MZ3  1955    12   2 -18  10  -8  13 -50  -6  16 -28  -1  -4   -5.2
 MZ3  1956   -32  19  39 -48 -83 -16   9   2 -33 -47 -21  -7  -18.2
 MZ3  1957     0   8 -64  -3  19  29  16 -30 -28   8  24  39    1.5
 MZ3  1958    21 -18  27  89  24  59 -25  18 -39 -84  -2 -23    3.9
 MZ3  1959    -5   4 -35  15  30  38  25 -12 -27 -12  24 -36    0.8
 MZ3  1960    41 -21  -3 -20 -28 -40  18 -23 -36 -32 -19   3  -13.3
 MZ3  1961    -5   1  39   1 -32   4  -5 -11 -19 -20  36 -32   -3.6
 MZ3  1962   -27  22 -22 -30 -51  -2 -27  -7  -4 -47 -10 -21  -18.8
 MZ3  1963     6 -21  32   6   7  -1 -44  36 -13   9  12  -4    2.1
 MZ3  1964    29   3  24  10   1  11 -11  36   6 -24   8 -30    5.3
 MZ3  1965   -80  51 -12  16   7  40  22 -34  23   8  -6  12    3.9
 MZ3  1966     7 -13 -20   0  11   6   7 -10 -39  -8  -3   6   -4.7
 MZ3  1967     4  17 -35  18  51  31   2 -27  26 -18  -6 -26    3.1
 MZ3  1968     8  32 -24 -37 -15 -25 -23 -30  32  28  33 -38   -4.9
 MZ3  1969   -23  -7  34  33   5  50   9  10 -65  28 -22 -37    1.3
 MZ3  1970    11  -5  -3  21   1  -9  32 -34  -1   8  -3  13    2.6
 MZ3  1971   -39 -11  -3 -58 -34 -30 -33 -55  11  25 -28 -14  -22.4
 MZ3  1972    12  28   3  38  37  50  -2  17  54  16 -15  28   22.2
 MZ3  1973    11   2 -17  20  35 -11 -21 -44  -3  12  17 -22   -1.8
 MZ3  1974     9 -24  14 -57   3 -13  20 -10 -53 -24  -4 -35  -14.5
 MZ3  1975   -42   8 -14  17   7  11  63 -17  10 -32  15  51    6.4
 MZ3  1976    -4  25 -20 -41  49  28  12 -19 -44 -30   0 -18   -5.2
 MZ3  1977    35  -2  20  15  36  -9 -32 -44  12  -3   8  -3    2.8
 MZ3  1978    15 -11  12 -69  -3  -8 -11 -13 -42   0  17 -12  -10.4
 MZ3  1979    28   3 -45  -1   7  -3  -6 -49   9  -2 -27 -10   -8.0
 MZ3  1980     5   1  -9  13  44 -25  29  63  35 -13  23 -18   12.3
 MZ3  1981   -10  14 -30 -11 -23 -40   6  -4  72  15 -36 -18   -5.4
 MZ3  1982    46  -4 -15 -13  32 -23  19  33 -28  17  53  43   13.3
 MZ3  1983    48  45  42 -16  36  -5   5   6  24 -50  -4  -2   10.8
 MZ3  1984    13 -21 -49  -6  26  12  -6 -28 -37  40  11 -36   -6.8
 MZ3  1985   -19 -14   4 -30 -16 -71 -25  15 -32   7   0 -22  -16.9
 MZ3  1986   -25 -22   5  23   3 -29  33 -24  -8  -8  -1 -15   -5.7
 MZ3  1987   -11  29  -2  20  14  31  11 -21  40  -9 -58   3    3.9
 MZ3  1988    29 -18 -23   8  23  24  31  19   7  33 -13 -23    8.1
 MZ3  1989   -47  -8  10  29 -27  16  -1 -63 -72 -36 -31  37  -16.1
 MZ3  1990    17   9   9  30  39 -22   0 -42   5 -33 -29  30    1.1
 MZ3  1991    12   8 -42  15   4  52  11   1 -37   9  35  28    8.0
 MZ3  1992    -7  29  59  45  12 -15  17  46 -16 -46 -34  -8    6.8
 MZ3  1993    59 -25  25   0   8 -14  -6   3  22   1   2 -17    4.8
 MZ3  1994    -3 -33  47  11  38  -3  -2  -4  19 -13  27  21    8.8
 MZ3  1995   -14 -21  -1 -70 -35  21  18  19 -12 -24   5 -33  -12.3
 MZ3  1996   -51  11   3  -7  29   5 -12  43 -40 -12  48  -2    1.3
 MZ3  1997     7  10  -8  38 -24   8  12 -13 -27  17  68  28    9.7
 MZ3  1998    30  -4   4 -10  16   2 -38  18  31  17 -50  -6    0.8
 MZ3  1999   -49  -5 -34 -26   8  13  18  20  13 -10 -35   3   -7.0
 MZ3  2000   -21  17 -13  -9 -25  -7 -53  -1  18  15  -1 -14   -7.8
 MZ3  2001    24  -5  -7 -16 -17 -13  17 -11 -14 -39 -29 -12  -10.2
 MZ3  2002    -9   6  11  12  38  28 -10  30  33  38  26  -3   16.7
 MZ3  2003     8  -7 -43   3   3 -27  -2 -72 -10 -15  16   8  -11.5
 MZ3  2004   -28  29  35 -10 -48  16   3  35  26  -2 -12  40    7.0
 MZ3  2005     1 -23 -19  35 -44  25 -10 -24   9 -25  18 -10   -5.6
 MZ3  2006     7  -8  16 -36 -20   1  -6  23  17  26  16  28    5.3
 MZ3  2007     6   2  -5  21  11  22 -31  30 -15  42  -3 -43    3.1
 MZ3  2008   -14 -18 -20 -25 -21  10  -5  21   0  21 -13 -21   -7.1
 MZ3  2009    -3  19  23 -26  10  19  18 -24 -18  28  50  23    9.9
 MZ3  2010   -11   1  26  15 -30 -23  -6 -23  24 -10  -8 -13   -4.8
 MZ3  2011   -10 -10 -18  -5 -47 -15  39  28  28 -49  29 -67   -8.1
 MZ3  2012     2 -11 -26 -37   9  37 -65 -61   8  36  24  -6   -7.5
 MZ3  2013    -6  -2 -25 -25  -1 -18   2 -67   4   2 -50 -27  -17.8
 MZ3  2014    32 -20   6 -58   3 -46  15  29 -24  12  44 -25   -2.7
 MZ3  2015   -31  17 -13   0  25  26  26 -33  -1  30  -4  17    4.9
 MZ3  2016   -27 -26 -18 -12   8 -18  30 -19 -18 -16  15  12   -7.4
 MZ3  2017    24 -11  -8 -45   8 -21 -19 -32 -17  -3 -23 -11  -13.2
 MZ3  2018   -49 -14 -51   5   6 -24  12 -35   1  12 -40 -36  -17.8
 MZ3  2019     8  -5 -22   3  10  14 -22  51  19  -2  -3 -14    3.1
 MZ3  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
 MZ4  1944    -1   8   0  17  -6  15   2   2   5   2  15  15    6.2
 MZ4  1945     2   0  10  15   9  -3  -1   3  -2  13   8  12    5.5
 MZ4  1946    12   1  -2  -3  -6  -7  12  17   7   5   8   9    4.4
 MZ4  1947    10   1  -4  -2  -2  18  -2   9   9   8  -3  -3    3.3
 MZ4  1948    -1   3   4  11  16   2  19   1   5  11   5  12    7.3
 MZ4  1949     9  10   4  11  -8  17  23   4   2   5  -1  11    7.3
 MZ4  1950     5   2   0  -5  -9   4  -5  -5  -9 -11 -10   2   -3.4
 MZ4  1951    -2  -1  -5   6  -4  -8   5  -6  -4   7  16   8    1.0
 MZ4  1952    12  -6   3   5  14  19  -1 -18  -8  -3   8  -5    1.7
 MZ4  1953    -4   7   5   5   1   3   6  -8   4   0   7   4    2.5
 MZ4  1954    -2   5   4  -5  -6   7   6  -2  -7  -4   0  -1   -0.4
 MZ4  1955     3   7 -10   0   2   2  -9   6  -5  -4   4 -10   -1.2
 MZ4  1956    -2  -2   2   3 -14   9   1   0 -10  -4   8   3   -0.5
 MZ4  1957     4  -2  -2   6  17   6  -4 -15  -8  15  13  15    3.8
 MZ4  1958     5   2   4   9   7   1  -7   3 -14 -12  -3   6    0.1
 MZ4  1959    -5  -2  -3   4   7  -5  -2  -5  -2 -11   0  -7   -2.6
 MZ4  1960     7  -4  -3  -8  -3  -5   4  -3  -6  -3  -8  -7   -3.3
 MZ4  1961    -5   4   3  -4  -4  -2   6 -12  -4  -6   1  -8   -2.6
 MZ4  1962     3   1   2  -2  -5   8   2   3  -3   4   7  -7    1.1
 MZ4  1963     0   6   3  -2   4  -3 -11   7   2  -5   6   3    0.8
 MZ4  1964    17  -4   9  -4   0  -5  16  13  10  -1   8  -1    4.8
 MZ4  1965    -3  13   2   3  -1   4   4 -10   0   0   9   2    1.9
 MZ4  1966     0  -2  -5   5 -15   4  -4  -6 -13   1   0   2   -2.8
 MZ4  1967     2   5  -9   7   5  -7 -10   0  -6  -3  10   1   -0.4
 MZ4  1968     7   6  -3  -1   0  -1  -6  -2   5  10   6  -8    1.1
 MZ4  1969     6 -10   7   5  -1  -1   2  -3  -4   0 -18  -2   -1.6
 MZ4  1970     1  -6  -6   5  -4   1   9  -4  10   3  -5   0    0.3
 MZ4  1971    -4  -3  -4  -7  -3   7  -1  -1   4  12   0  -6   -0.5
 MZ4  1972     4  -1   1   9   8   2   6   3   9   6  -4   3    3.8
 MZ4  1973     5   0   3   7  14  -3 -14  -4   1   1   5  -7    0.7
 MZ4  1974    -5  -1  -6  -2   1 -11  19  -3  -4   0  -6  -4   -1.8
 MZ4  1975     0   1   3   6   5  -5  10   4  -1  -6  -2   2    1.4
 MZ4  1976     5  -1  -7  -6  10   7  12  -3 -11  -1  -8   5    0.2
 MZ4  1977     6  -2  -3   7   3   2   1 -10  -2   4   3   2    0.9
 MZ4  1978    -3   0   0  -1 -11 -15   5   0  -5  -3   1   4   -2.3
 MZ4  1979     2   6  -6   4   1 -13   0   0   4  -1   1   1   -0.1
 MZ4  1980    10  -2   3   2  -2  -7   5   7  14  -4  13  -8    2.6
 MZ4  1981    -6  -1  -3   5 -10   4   9  -1  12  -1  -6   4    0.5
 MZ4  1982     6  -3  -4  -6   9 -12  -2   9  -1   3   8  10    1.4
 MZ4  1983    13   2   5   0  12  -3  -6   0  15  -5  -4   2    2.6
 MZ4  1984     1  -2   2   5  -1  -2   1  -2  -9   2   2  -2   -0.4
