 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
  Z1  1947     1 -12 -27 -27  -8  19   4  23  25   1   1 -18   -1.5
  Z1  1948     4   4  33   0  17 -16  18  -5  14  27 -11  25    9.2
  Z1  1949   -16  60  21  21 -24  11  66  -1 -15  31 -28  28   12.8
  Z1  1950     7  27  14 -18 -14  -4  -7 -14 -25 -61 -25   4   -9.7
  Z1  1951   -46 -11 -24  -8 -19 -32  31 -25   8   4  48   8   -5.5
  Z1  1952    42  -9  20  21  42  35   3 -64 -23   2 -22 -38    0.8
  Z1  1953   -41   8  24  30   2 -30  12 -11  16 -20  49   2    3.4
  Z1  1954    -6  37  -3 -23 -22  27   6 -12 -28   1   4 -30   -4.1
  Z1  1955     4  31 -27   2  21 -15 -46  16 -10 -16  19 -38   -4.9
  Z1  1956     2  -2  -4  14 -58   9  -6  -9 -28 -35  16  -3   -8.7
  Z1  1957    10   3 -24  17  38   8 -10 -38 -53  38  49  61    8.3
  Z1  1958    23   9  25  41  38  21 -26  16 -31 -33  -3  -3    6.4
  Z1  1959   -30  -3 -22  -2 -24  11  -9 -20  -2 -56  27 -48  -14.8
  Z1  1960    17 -14 -24 -33 -10 -24  19 -16 -33 -21 -36 -50  -18.8
  Z1  1961   -47  22   3  -1 -33   5  19 -52 -40   8  20 -29  -10.4
  Z1  1962    -6  -3 -12 -24 -11  18   9   3 -18   4   9 -38   -5.8
  Z1  1963    -9  24  16 -17  18 -31 -55  -2 -12 -15  18 -11   -6.3
  Z1  1964    63 -17  49  -2   4 -32  42  46  20  -6  28  -1   16.2
  Z1  1965   -21  34 -13  12   4  10   0 -48  10  -1  31   9    2.3
  Z1  1966     3   1 -22  25 -67  14 -23 -40 -37  -5  -2  -8  -13.4
  Z1  1967     3  22 -20  24  22 -20 -14  -5 -30  -2  26 -22   -1.3
  Z1  1968    10  31 -12 -20   6 -15 -23  -3   9  47  45 -64    0.9
  Z1  1969     2 -38  35  20 -25   1  12   5   8   5 -49  -7   -2.6
  Z1  1970   -11 -25 -24  25 -41  -6  43  -2  14   6 -21  -6   -4.0
  Z1  1971   -49 -18 -17 -41 -20   0 -40 -19  14  20 -24 -25  -18.3
  Z1  1972    -9 -31  17  22  10  -6   9 -12  39  19  -2  -8    4.0
  Z1  1973     0  -8   2   8  44 -13 -49 -22 -14  17  24 -38   -4.1
  Z1  1974   -31 -11 -41 -46 -15 -44  36 -46 -47 -27 -23 -26  -26.8
  Z1  1975   -41   2   5  31  25 -27  41  24  -4 -27  -8  13    2.8
  Z1  1976    -1 -18  -2 -32  31   8  34 -28 -71 -39 -44  -4  -13.8
  Z1  1977    18  -5  -6   5   2 -15 -21 -44 -37   3  29   8   -5.3
  Z1  1978     1  -6  16 -19 -33 -71   4  17 -36  -8  17  -1   -9.9
  Z1  1979    29  30 -40  20  -1 -25   5 -31  15 -17   6  16    0.6
  Z1  1980    24  -2  -6  -7   7 -29  12  39  73   7  27 -38    8.9
  Z1  1981    -9  10  -7  18 -38 -17  28 -43  46   1 -21  18   -1.2
  Z1  1982    40   4 -11 -46  42 -49   1  33  -7   0  71  29    8.9
  Z1  1983    59   7  48   6  36  -1 -13   1  29 -28  -6   0   11.5
  Z1  1984     5 -11  -2  14  -6  22   8   6 -39  17  16  -9    1.8
  Z1  1985    34   3 -31 -12 -45 -17  -3   2  -6 -41 -14 -13  -11.9
  Z1  1986    11   8  -9  43  13  29  12 -59 -26  -7  -4 -19   -0.7
  Z1  1987    13  14 -27  17  22  16 -21   6  30   8 -37   8    4.1
  Z1  1988     7   0  -6 -18  20  15  30  20  16  87   3  -1   14.4
  Z1  1989   -42  -9  26   3 -30   0 -15 -50 -81  -1 -19  17  -16.8
  Z1  1990    15   8   2  39  63  -8   6 -11 -16  -9 -13  40    9.7
  Z1  1991    25  21 -31  14   1 -12  15  52   6   8  -6 -10    6.9
  Z1  1992     0  20  47 -22 -29  -5  23  29 -46 -53 -28 -34   -8.2
  Z1  1993    29 -25   4 -15  12  48  14 -16 -21  36 -20 -11    2.9
  Z1  1994    27 -15  -8  28  35  -6  22  44  13 -23  59  -4   14.3
  Z1  1995   -18 -22  32 -31  -7 -12  45   6  15 -10   0  14    1.0
  Z1  1996   -56 -13  -8  15   5  -4 -41   6   9  16  34  -4   -3.4
  Z1  1997   -32   3 -32  20  -7 -27  -1   2 -58  11  60  30   -2.6
  Z1  1998    26  36  38  17   0  -4  10  -8  25  54 -54  -3   11.4
  Z1  1999   -48 -16   4 -21   9 -11   1   0  -6  -4 -23 -26  -11.8
  Z1  2000   -18   7 -30   7  10  18 -23 -16   7  31 -43  15   -2.9
  Z1  2001    -2 -15 -11  -6 -11   5 -37   5 -24 -23 -18 -10  -12.3
  Z1  2002   -24 -23  32 -19  29  30 -26   8  52  10   4   6    6.6
  Z1  2003   -11   1 -33 -42  10  38   5 -50   8 -19  13  13   -5.6
  Z1  2004    -8  37  17  -7  -4  42  -5   0  32 -10  16  16   10.5
  Z1  2005     1   7 -19  -6  -9 -17  17   5  -3 -39 -21 -12   -8.0
  Z1  2006    13  -3 -26  19 -27 -26  -4   6  20   6  51 -15    1.2
  Z1  2007   -10 -29  26 -11  35  -3 -31  13 -24  46 -17 -38   -3.6
  Z1  2008   -22   1 -10 -16 -51  14   9   1   8  21  19 -10   -3.0
  Z1  2009     8  -6   8   2 -20 -40   3  32 -11 -39  23   7   -2.8
  Z1  2010   -18  -3  21  28 -35 -22 -32  -6  60 -28 -24  11   -4.0
  Z1  2011   -23   3  -4 -23  22 -18  33 -11   6 -33  21 -51   -6.5
  Z1  2012     6 -16 -31 -24 -11  17 -27 -28  16  34 -18  -1   -6.9
  Z1  2013    16 -14 -14   6 -20 -30  30 -16  -7  40 -49  -7   -5.4
  Z1  2014    23 -11 -15 -25  33  -5 -11 -11 -26  23  43 -20   -0.2
  Z1  2015   -21   1 -10  19  30  38  19   7 -47  22   6 -15    4.1
  Z1  2016   -13  13 -10  -1  55   7  43 -25 -41   2  34   4    5.7
  Z1  2017    58   3 -27 -18 -13 -28  -5   8  15 -13 -40 -24   -7.0
  Z1  2018   -23   3 -10  22  10 -47  53  -2 -35 -24 -26 -37   -9.7
  Z1  2019    12   3  -9 -20  32 -13  32  34  -5  -6  28  10    8.2
  Z1  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
  Z2  1941   999 999 999 999 999 999 -57 -90  -9 -32   7 -15  999.0
  Z2  1942     6 -63   9  40 -33   2  15   8  -2  -3   8  45    2.7
  Z2  1943   -27 -23  23   2  12 -45 -30 -13 -52 -65 -11  21  -17.3
  Z2  1944   -29 -43 -41 -74 -69  20  -9  17  49   8 -38 -67  -23.0
  Z2  1945   -22 -65  22  16 -47 -34  13 -20 -13  -7  31 -14  -11.7
  Z2  1946    22  23 -35 -30 -29 -35 -51  23 -12  -3 -16  -3  -12.2
  Z2  1947   -41 -10 -10  -2  35 -38  -8  -7  41 -47 -31 -20  -11.5
  Z2  1948   -33  -5   2 -29 -36 -19 -53  -4  26 -11 -40  28  -14.5
  Z2  1949   -44  28   4 -19 -40 -34  87  64  47 -13 -11 -12    4.8
  Z2  1950   -27  33  10 -32 -27   7  19  19  -1 -45  15  35    0.5
  Z2  1951   -33 -25 -20-107 -43 -29   6 -51  15 -32 -32 -31  -31.8
  Z2  1952    63  -7   5  14 -12 -21  -4 -41 -12 -14 -91 -48  -14.0
  Z2  1953   -47   0   4 -19 -14 -69 -22  -9  45 -13   2  12  -10.8
  Z2  1954    17   2 -33  16 -16  22  25  22  45  38 -31 -36    5.9
  Z2  1955    28  18  31 -28   7 -42 -37 -42   6 -31  13 -13   -7.5
  Z2  1956     4  12  37 -70 -68 -23 -27 -10 -23 -48 -65 -19  -25.0
  Z2  1957     6   2 -65 -20 -24  43 -12 -10 -24   6 -37  14  -10.1
  Z2  1958    -8  -6   6  34   3  59 -74  12  21 -32  14  -4    2.1
  Z2  1959     9  16  10 -34 -60  80  50  34  21  -9  43 -64    8.0
  Z2  1960    32  12 -35 -20 -31 -42  21 -42 -21 -17 -18  -4  -13.8
  Z2  1961   -18  19  12  12 -16  36 -37 -10 -11  32  28  13    5.0
  Z2  1962    14  -3 -28  -6  -9 -15  16  36  -1 -38   4  12   -1.5
  Z2  1963    18   0  20   0  41 -15 -53   9 -45  78  41  31   10.4
  Z2  1964    21 -28   6  26  23   4 -32  35  24 -30  -8 -28    1.1
  Z2  1965   -62  25 -27   0   8  30   6 -29  28  53 -21  51    5.2
  Z2  1966    23  -4 -19  28 -45  46 -21  -5 -15   9   5  16    1.5
  Z2  1967    -9  62  20  47  -1  42  20  16 -55  46   0   5   16.1
  Z2  1968    21  44 -12 -95 -40 -45   2   0  30  44  12 -27   -5.5
  Z2  1969    -6  10  45 -10 -23  37  56  65 -10  56 -12  -7   16.8
  Z2  1970    10  10 -43  23 -38 -17  11   7  56 -10  -2  30    3.1
  Z2  1971   -40   5   5  -7 -49 -62 -35 -63  23 -22 -33 -14  -24.3
  Z2  1972     5  18   3   7  23 -18 -17 -24  69  41  25 -11   10.1
  Z2  1973    21  28  -8  27  -1  13 -23 -67  15  33 -12   4    2.5
  Z2  1974    22 -22  -9 -61  20  -7 -62 -41 -42 -27 -22 -26  -23.1
  Z2  1975   -59   5 -21  49  23   3  10 -26  50  -7   1  23    4.3
  Z2  1976    -2   3  -1 -11  17   3  25 -86 -70 -55 -73 -47  -24.8
  Z2  1977   -12  14  27 -10 -82 -29 -55 -23 -48  53  -8 -24  -16.4
  Z2  1978    21   8  43 -74 -24 -44 -95   8 -34   9  46 -34  -14.2
  Z2  1979    60  29 -39  -9 -34  38   9 -51   8 -18  -2   9    0.0
  Z2  1980   -34 -22 -34 -34  11 -37 -39  56  17   9   9 -32  -10.8
  Z2  1981    51  17 -54  -3  -9 -79 -60 -72  24  28 -20 -22  -16.6
  Z2  1982    26  29  -1 -43 -17 -46  22  89  13 -13  64  20   11.9
  Z2  1983     2  15  59  -8 -11   9  -9  44 -11 -21 -23 -13    2.8
  Z2  1984   -22 -33 -99  26 -10  53 -27 -32 -36  12  36 -42  -14.5
  Z2  1985   -37   2 -11 -21 -15 -34  -7   8   8 -14 -41 -43  -17.1
  Z2  1986   -21 -64 -29  28   1  -3   4 -66   0 -63 -26  -1  -20.0
  Z2  1987     9  -6 -43  38  30  -1   7  38   5  -5 -21   8    4.9
  Z2  1988    24 -11  30  19  45  19  25  39  12  13  -6  22   19.3
  Z2  1989   -45 -33  23  22  -3  18 -27 -39 -58 -71  19  21  -14.4
  Z2  1990    39   9  38  -7  46 -21 -12 -44  29   9 -37  28    6.4
  Z2  1991     6  22 -42 -45  26 -27   1   3 -57  24 -22 -26  -11.4
  Z2  1992   -27  37  59  22  -7 -20  15 -40 -56 -21 -55 -12   -8.8
  Z2  1993    19   1 -19 -49  12  51  45  26 -14  47 -24 -53    3.5
  Z2  1994    29 -19 -27  42 -29 -48  -2  74 -28  -1  37  56    7.0
  Z2  1995    35  -4  24 -35  14 -52  -2  23   6  -2  -3  26    2.5
  Z2  1996   -46  -8 -27 -46  60  -6 -70 -16 -13   9 -48   2  -17.4
  Z2  1997   -25 -18   3  16  17  17  37  14 -11  48  59  20   14.8
  Z2  1998    31  25  36  30 -15  26  34  54  41 -17 -11 -21   17.8
  Z2  1999     4  13 -13  -5  41  24 -11  14 -15  21 -22  20    5.9
  Z2  2000   -38  41  20  23  31 -16  -8 -24 -25  15   7  29    4.6
  Z2  2001    25  48   6  33 -59  30   3 -20  31 -49 -29 -34   -1.3
  Z2  2002   -69 -41  37  -5   7  17 -22 -14  55 -24 -31  29   -5.1
  Z2  2003    25  39 -18 -29  46  32  15 -24  -5  -5  41  32   12.4
  Z2  2004    -3 -12  26  -5 -29  18  21 -39  18  13  12 -50   -2.5
  Z2  2005    -7 -10 -11  37  13   9  49  46 -24 -22  -7 -36    3.1
  Z2  2006    26  -6  -2 -81 -43  25  46  13  63  22  37 -17    6.9
  Z2  2007   -11  18   6  15  36  18 -42  11  27  -4  37   4    9.6
  Z2  2008    39 -22   5  -4 -39  23 -67 -36   5  55  10 -12   -3.6
  Z2  2009    20 -14  -9   2 -64 -17  10  14 -11 -10  75  30    2.2
  Z2  2010   -46   5  37  33 -77 -11  19 -58  32  27  -6  17   -2.3
  Z2  2011   -23  23  15  -4   3 -16  69  16  22 -36  16 -22    5.3
  Z2  2012    37 -40  -4  12  -8   3   8 -65  12  23  -5  34    0.6
  Z2  2013    33  12   5 -28   5 -37  72 -20  -1  62  -8 -31    5.3
  Z2  2014    25  -8 -11 -88  36   4   0  52   4  17  30 -10    4.3
  Z2  2015    -3  -9 -29  -5  38  45  38  -5 -20  92  47  35   18.7
  Z2  2016   -18  40   2  33 -38  27  60   0 -40 -26 -16  52    6.3
  Z2  2017    27  27   5 -45  15  20 -35 -40 -44  20   9  14   -2.3
  Z2  2018   -16   1 -11   4  25 -18  20 -36  15  15 -62   0   -5.3
  Z2  2019    64  21  -6 -13  43  26  -8  44  26 -25  16   5   16.1
  Z2  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
  Z3  1948   999 999 999 999 999 -26  20  -9  15  37 -16  25  999.0
  Z3  1949   -27  74 117  13 -32  -5  64   0  -3  40 -35  39   20.4
  Z3  1950     9  20  11 -29 -14  -5  -8 -20 -28 -62 -29   4  -12.6
  Z3  1951   -65 -13 -31 -13 -25 -43  44 -24   3  -1  60   3   -8.8
  Z3  1952    50   0  17  23  36  38  -4 -69 -21  -3 -36 -43   -1.0
  Z3  1953   -63   1  15  27  -8 -35   6 -11  23 -30  55   7   -1.1
  Z3  1954   -22  45   0 -20 -23  32  -1  -7 -32  12  13 -45   -4.0
  Z3  1955     8  32 -24  -4  26 -33 -53  23 -12 -15  26 -41   -5.6
  Z3  1956    -1  -6  -9  18 -70  14 -16 -11 -34 -36  21   2  -10.7
  Z3  1957     6   0 -30  19  27   6 -23 -42 -52  43  53  60    5.6
  Z3  1958    16  16  34  35  57  17 -28  20 -25 -28   1  -9    8.8
  Z3  1959   -35   5 -21 -10 -48  20  -1 -17   4 -63  33 -46  -14.9
  Z3  1960    18  -1 -28 -28  -3 -40  23 -17 -40 -16 -31 -61  -18.7
  Z3  1961   -58  16   4   0 -31   4  13 -59 -46  11  20 -32  -13.2
  Z3  1962    -2  -5 -18 -32  -5  21  15   9 -16   9  14 -43   -4.4
  Z3  1963   -13  30  15 -27  29 -35 -63   1 -16 -16  25 -10   -6.7
  Z3  1964    77 -18  59   0  13 -28  44  50  26  -2  29   1   20.9
  Z3  1965   -23  38  -8   5   8   2  -2 -55  12   1  38   6    1.8
  Z3  1966     1  12 -21  34 -72  15 -27 -48 -37 -10   6  -5  -12.7
  Z3  1967     3  22  -8  32  15 -28  -7   1 -40   7  29 -20    0.5
  Z3  1968     7  43 -13 -42  15 -15 -31  13  16  67  55 -67    4.0
  Z3  1969     0 -36  40  16 -34   0  22  10  21   7 -46  -1   -0.1
  Z3  1970   -13 -16 -28  27 -46  -9  51   9  39  12 -15  -5    0.5
  Z3  1971   -49 -18 -22 -37 -18  -5 -34 -18  19  30 -23 -25  -16.7
  Z3  1972    -9 -33  27  23   3 -19  11 -16  47  18  -3  -9    3.3
  Z3  1973    -1  -5   8  11  48  -9 -49 -32 -19  12  28 -41   -4.1
  Z3  1974   -36  -3 -43 -52 -12 -44  26 -58 -54 -32 -19 -18  -28.8
  Z3  1975   -45   6  10  35  32 -38  42  17  -8 -29  -8   4    1.5
  Z3  1976    -5 -22  -4 -40  28   0  27 -34 -84 -40 -45  -2  -18.4
  Z3  1977    12  -4  -3  11 -18 -17 -33 -44 -58   8  25   7   -9.5
  Z3  1978     0  -3  25 -24 -36 -90   5  20 -40 -13  33 -12  -11.3
  Z3  1979    31  32 -50  27 -11 -20   3 -41  16 -17  12  24    0.5
  Z3  1980    19   5  -2 -23   9 -29   0  46  89  11  26 -39    9.3
  Z3  1981    -7  13  -6  24 -32 -22  21 -55  44   3 -22  19   -1.7
  Z3  1982    38  10  -4 -43  46 -58   1  40  -9 -12  75  26    9.2
  Z3  1983    60   1  47   0  25  -1 -23  -4  29 -32  -3  -9    7.5
  Z3  1984     8 -20 -12  14 -13  19   0  11 -45  21  16  -7   -0.7
  Z3  1985    37   0 -44 -12 -53 -14   0   1  -4 -52 -26 -16  -15.3
  Z3  1986     7  -2 -19  50   5  42  12 -72 -34 -17 -12 -16   -4.7
  Z3  1987    21  19 -29  15  27  16 -25  15  27  13 -27  18    7.5
  Z3  1988    18   5  -3 -23  20  17  43  28  17 106   4   2   19.5
  Z3  1989   -46 -13  23  -4 -34  -2 -10 -49 -78  -3 -20  17  -18.3
  Z3  1990    17   6  -3  44  70  -3  10 -13 -27 -13 -16  40    9.3
  Z3  1991    31  22 -30   8  -2 -22   9  63   8   9 -13 -20    5.3
  Z3  1992    -5  18  45 -30 -42  -5  26  11 -57 -65 -35 -43  -15.2
  Z3  1993    29 -20  -4 -26   1  62  15 -19 -33  41 -28 -22   -0.3
  Z3  1994    27 -18 -25  32  34  -8  16  57  -1 -25  77  -9   13.1
  Z3  1995   -17 -26  36 -26  -4 -29  45   8  17 -11  -6  26    1.1
  Z3  1996   -47  -4 -11  27  12  -3 -49   5  24  24  33   0    0.9
  Z3  1997   -41   2 -28  26   0 -28   7   6 -70  19  65  37   -0.4
  Z3  1998    24  48  52  26   1   1  27  -6  27  66 -54   0   17.7
  Z3  1999   -52  -9  14 -21  28 -12  -2   1  -9   3 -24 -24   -8.9
  Z3  2000   -33  18 -31   8  32  27 -11 -16  17  38 -49  26    2.2
  Z3  2001    -5  -5   1   3  -8  15 -43   9 -15 -24 -17  -5   -7.8
  Z3  2002   -25 -15  42 -28  34  39 -22   8  69   8   0  11   10.1
  Z3  2003   -11   7 -25 -55  12  45   3 -51  21 -18  16  12   -3.7
  Z3  2004    -1  37  14 -12   1  50  -6 -13  26 -20  16  -2    7.5
  Z3  2005    -1   4 -13 -13  -6 -18  21  11  -9 -44 -26  -8   -8.5
  Z3  2006    15  -4 -24  20 -33 -34  -1  -6  21   9  52 -30   -1.3
  Z3  2007   -13 -37  30 -23  42  -8 -42  13 -26  42 -25 -38   -7.1
  Z3  2008   -20  -3 -12 -24 -59   8  -1 -17  16  19  26 -12   -6.6
  Z3  2009    10 -17   5  10 -37 -48  17  50  -4 -47  26  12   -1.9
  Z3  2010   -22  -7  23  32 -59 -29 -35 -14  66 -26 -27   9   -7.4
  Z3  2011   -26   4  -6 -33  24 -27  39 -30   3 -36  20 -56  -10.3
  Z3  2012     2 -17 -32 -22  -7   7 -26 -33  23  25 -20   8   -7.7
  Z3  2013    20 -23 -18  -5 -28 -50  35  -6 -11  63 -50 -13   -7.2
  Z3  2014    15 -11 -26 -41  39   4 -11 -15 -35  15  45 -18   -3.3
  Z3  2015   -24  -5 -11  12  37  38  19   5 -57  27   7 -18    2.5
  Z3  2016   -31  21  -5   4  62   5  50 -26 -47  -6  33  11    5.9
  Z3  2017    49   8 -38 -32 -16 -28 -20   6  15 -20 -45 -23  -12.0
  Z3  2018   -27   1 -11  11  17 -55  67  -2 -41 -35 -29 -54  -13.2
  Z3  2019    12   8   3 -30  42 -23  24  34 -17 -14  41  17    8.1
  Z3  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
  Z4  1937   999 999 999 999 999 999 999-150 -73-131 -43 -73  999.0
  Z4  1938   -83 -77 -58-101 -65 -80 -57 -93 -60  -8 -65  44  -58.6
  Z4  1939    50  -8 -85 -79 -58 -20  97  22 -24-110 -84 -63  -30.2
  Z4  1940     6 155  19  11  55  25 -65 -81 -17 -19  26  12   10.6
  Z4  1941     1  25   3  52 -20  62 -45 -13  -7   3  63  39   13.6
  Z4  1942    43  13  44  36  -8-103  48   4  37   4  -5  20   11.1
  Z4  1943    24  32  32 -11 -43 -18  31 -23 -20 -48 -43 -12   -8.3
  Z4  1944     4  12  23  29   0  76   5  14  55   3  34  70   27.1
  Z4  1945   -10 -23  61  47  60  22   2 -15  -7  37  40  73   23.9
  Z4  1946    58   1 -32  -1 -66 -58 -14 106  -7  35  85  48   12.9
  Z4  1947    31 -21 -32 -43 -63  75 -23 -18  28   1 -79 -54  -16.5
  Z4  1948   -14  -7  32  19  12 -25   5 -29  -3  65   4  30    7.4
  Z4  1949    25  33  18  24 -73  60  83   2 -22  -2 -47  10    9.3
  Z4  1950    17  -2   0 -19 -41  56 -45 -31 -62 -98 -44   3  -22.2
  Z4  1951   -29 -37  -5  46 -21   5  -8   4 -37  30  93  96   11.4
  Z4  1952    64 -43  47 -24 105 110  -8-149 -38 -34  19 -35    1.2
  Z4  1953   -30  67   4  80   3  12  38 -75  26 -23  46 -14   11.2
  Z4  1954     1  13 -32   3 -24  23  49 -12 -65 -71  -8  -7  -10.8
  Z4  1955     6  19 -45  11   6  31 -82   6   2 -42   3 -40  -10.4
  Z4  1956   -35  15  34 -12-114  25  33   3 -58 -32  -4  18  -10.6
  Z4  1957   -29 -22 -47  17  81  32   3 -74 -55  55  66  69    8.0
  Z4  1958    38   9  39 107  60  53 -31  23 -82 -98 -35   7    7.5
  Z4  1959   -31  -1 -43  24  79  -4  26 -24 -58 -22   1 -70  -10.3
  Z4  1960    62 -18 -17 -56 -18 -25  24 -48 -43 -51 -12  -6  -17.3
  Z4  1961   -10  16  51 -19 -27  29  21 -58 -24 -72  18 -67  -11.8
  Z4  1962   -38  25  -8 -11 -68  24 -50   0 -17 -21  -9 -50  -18.6
  Z4  1963   -10  -2  37   1   4  10 -26  28  -9 -46  23  -8    0.2
  Z4  1964    68 -21  51   6   1  16  53  83  22  -7  11 -28   21.3
  Z4  1965   -82  95  20   6  13  41  20 -78  -5   2  25  12    5.8
  Z4  1966    13 -13 -29  13   6  17   3 -49 -82 -47   3  26  -11.6
  Z4  1967    23  27 -63  23  54 -15 -33 -17  12 -54  47  -5   -0.1
  Z4  1968    12  25 -36   7   9  32 -29 -27  43  56  62 -65    7.4
  Z4  1969    -5 -39  38  82  10  51 -17 -15 -80   5 -52 -25   -3.9
  Z4  1970     0 -37  27  34   2 -16  53 -55  24  12 -44  -9   -0.8
  Z4  1971   -57 -23 -16 -90 -34 -11 -61 -66  46  77 -20 -43  -24.8
  Z4  1972    10   2  32  82  43  34  10  14  48  13 -17  59   27.5
  Z4  1973    14 -50 -30  28  77 -32-101 -52   6  -8  34 -73  -15.6
  Z4  1974   -32 -33  -9 -71   1 -49  96  17 -45 -27 -39 -63  -21.2
  Z4  1975   -37  23   8  23  37   6  74 -19  -1 -38  10  53   11.6
  Z4  1976    19  -3 -66 -61  58  38  50 -11 -56 -33  -1   4   -5.2
  Z4  1977    70 -23   0  46  50  27 -20 -79  19   1   2  11    8.7
  Z4  1978     2 -33  -5 -53 -40  -9  36 -33 -71 -35   3   4  -19.5
  Z4  1979    28  22 -28  -1   9 -55 -24 -32  13  -4 -36   5   -8.6
  Z4  1980    38   3  14  26  18 -30  48  67  82 -38  70 -24   22.8
  Z4  1981   -19  -9 -49   1 -61 -14  25  23 101  -2 -37 -24   -5.4
  Z4  1982    59 -20 -49 -15  45 -70 -14   6 -44  36  72  62    5.7
  Z4  1983    91  44  58   0  63 -15 -31 -21  55 -52 -31  18   14.9
  Z4  1984    21 -38 -40 -17  16 -22   7 -38 -60  21  23 -45  -14.3
  Z4  1985     5 -32 -25 -62 -90 -84   3  -5 -69 -21  -2 -30  -34.3
  Z4  1986   -12   8 -11  31  16 -32  25 -29  -3  20  -8 -36   -2.6
  Z4  1987   -16  40  37  18   6  33  -5 -47  70 -11 -64  18    6.6
  Z4  1988     9  10 -23 -42  52  23  46  31  15  66  -9 -66    9.3
  Z4  1989   -43  -5   9  10 -48  15 -24-108-109   1 -61  48  -26.3
  Z4  1990    24  -3  13  64  60 -44   6  -5 -35 -32 -11  38    6.3
  Z4  1991    31  20 -68  63 -13  54  17  35  -1  14  60  29   20.1
  Z4  1992     4  57  84  22  34 -14  42 115   6 -81 -46 -19   17.0
  Z4  1993    85 -45  32  16  15  21 -76 -25   5 -18  23 -23    0.8
  Z4  1994     1 -56  50  13  76 -13  21  -6  69  -7  43 -20   14.3
  Z4  1995   -25 -16  24 -64 -60  67  88  10 -11 -12  10 -48   -3.1
  Z4  1996   -90  23   0  41  12  14   2  74 -60 -22  84   6    7.0
  Z4  1997   -25  28   2  58 -50  -8 -11 -29 -41  25  98  39    7.2
  Z4  1998    30  33  44   9  27 -11 -12  -5  30  56 -96 -18    7.3
  Z4  1999   -67 -50 -28 -35  -5   3  26   6 -12 -41 -25  -5  -19.4
  Z4  2000   -12   7 -24  -3 -39  -2-104  18  29   7  -8 -28  -13.3
  Z4  2001    30 -15 -45 -41  13 -41 -15  -1 -63 -23 -29  13  -18.1
  Z4  2002     8  -6  11  14  62  80   8  29  61  40  26   0   27.8
  Z4  2003    -8 -20 -53 -21   2 -16 -15-129  56 -24  38  25  -13.8
  Z4  2004   -27 111  20 -36 -36  39  -6  45  25  23 -24 113   20.6
  Z4  2005   -16 -27   5  13 -30  -6   7 -78   5 -40 -13  12  -14.0
  Z4  2006    17 -26  38   3  -8 -21 -42  36  -5  26  56  27    8.4
  Z4  2007    25 -34   4  22 -11  43 -19  48 -43  62 -51 -67   -1.8
  Z4  2008   -54  -8 -31 -24 -48  25  49  70 -24  24 -25 -14   -5.0
  Z4  2009   -22  40  13 -59  27  -5  48 -39 -43  36  67  22    7.1
  Z4  2010     0 -15  20  10 -16  -2 -41  19  84 -66 -54 -14   -6.3
  Z4  2011   -11 -19 -33  -3   1  -5  63 -18  13 -55  39 -91   -9.9
  Z4  2012    17 -14 -22 -71   1  50 -98 -58   3  61  11  -8  -10.7
  Z4  2013   -36 -52 -52   1   7 -28 -32 -74   9  16 -65 -29  -27.9
  Z4  2014    28 -42 -12 -33  -8 -61   7   8 -18  10  67 -38   -7.7
  Z4  2015   -56  -5  -9  24  49  34  25 -34  -7  15 -11   6    2.6
  Z4  2016   -32 -23 -15 -14  72 -28  49 -45 -40  -8  64   4   -1.3
  Z4  2017    52 -19  10 -45  11 -46  24 -21  33  -4 -74 -52  -10.9
  Z4  2018   -33   8 -63  40  29 -33  26 -31 -12 -10 -40 -30  -12.4
  Z4  2019     8 -34 -43   3   7   9 -16  88  36   7 -16  -9    3.3
  Z4  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
  M1  1896    32   8 -21 -47 -12 -23  58  29  10  41  69 -30    9.5
  M1  1897   -67  20   6  10  54   3  69 -20   9  39   3  13   11.6
  M1  1898    40  45 -17 -77  47 -45  89  37  26  48 -86 -32    6.3
  M1  1899   -14  13 -44  28  26 -63 126  34  -4  62 -48  33   12.4
  M1  1900    34   5 -62 -48   4-135  93-117  53  -2  20 -23  -14.8
  M1  1901    14  25 -17 -35  18-135 109  20 -87 -71  21  45   -7.8
  M1  1902    -8 -52  -5  57 125 -62  85  40 114  45  39  44   35.2
  M1  1903    37 -62 -23 -58   7  17 -11  49   9-101 -31  13  -12.8
  M1  1904     7 -34  14  64  18  30 -32  26  -2  35   0  30   13.0
  M1  1905    62 -49 -38  68 -53   3 -43 -46  62 -31 -12  23   -4.5
  M1  1906    27  73  57 -41  23 -49 -17 -14 -24 -59 -15 -17   -4.7
  M1  1907    -3  -8 -52 -64 122  44 -11 -30  95   5 -21 -40    3.1
  M1  1908    74 -51  -3  49 -21  12 134  40 -23  52   6  39   25.7
  M1  1909    65  14 -67 -40 -64  11 -44   5  37  -4 -24 -23  -11.2
  M1  1910    70  -6  29  44 -44 -21 102 -32 -12 -25 -50 -30    2.1
  M1  1911    59  19  -8 -37  52 -68 -75 -39 -11 -32  40   0   -8.3
  M1  1912    42  50  24  63  27  63  77 -16  19   1  36 -31   29.6
