time,time,event_duration,event_start,event_end
2015-12-20,13502,9,2015-12-20,2015-12-28
2016-01-07,13520,6,2016-01-07,2016-01-12
2016-04-13,13617,5,2016-04-13,2016-04-17
2016-07-28,13723,5,2016-07-28,2016-08-01
2016-10-10,13797,6,2016-10-10,2016-10-15
2017-01-03,13882,10,2017-01-03,2017-01-12
2017-06-11,14041,5,2017-06-11,2017-06-15
2018-03-13,14316,5,2018-03-13,2018-03-17
2018-04-05,14339,6,2018-04-05,2018-04-10
2018-05-23,14387,7,2018-05-23,2018-05-29
2019-02-18,14658,8,2019-02-18,2019-02-25
2019-08-03,14824,5,2019-08-03,2019-08-07
2019-08-11,14832,6,2019-08-11,2019-08-16
2019-09-27,14879,9,2019-09-27,2019-10-05
2019-10-23,14905,7,2019-10-23,2019-10-29
2020-01-03,14977,6,2020-01-03,2020-01-08
2021-04-25,15455,5,2021-04-25,2021-04-29
