time,time,event_duration,event_start,event_end
1980-03-17,11764,17,1980-03-17,1980-04-02
1980-06-13,11852,9,1980-06-13,1980-06-21
1981-05-10,12183,7,1981-05-10,1981-05-16
1981-06-15,12219,9,1981-06-15,1981-06-23
1981-07-02,12236,8,1981-07-02,1981-07-09
1981-08-17,12282,7,1981-08-17,1981-08-23
1981-11-12,12369,7,1981-11-12,1981-11-18
1982-03-08,12485,11,1982-03-08,1982-03-18
1982-04-03,12511,6,1982-04-03,1982-04-08
1982-04-19,12527,11,1982-04-19,1982-04-29
1982-09-01,12662,12,1982-09-01,1982-09-12
1982-11-30,12752,8,1982-11-30,1982-12-07
1983-01-10,12793,6,1983-01-10,1983-01-15
1983-06-12,12946,6,1983-06-12,1983-06-17
1983-07-11,12975,9,1983-07-11,1983-07-19
1983-11-14,13101,7,1983-11-14,1983-11-20
1983-12-06,13123,5,1983-12-06,1983-12-10
1984-02-12,13191,6,1984-02-12,1984-02-17
1984-08-16,13377,6,1984-08-16,1984-08-21
1984-08-26,13387,12,1984-08-26,1984-09-06
1984-09-24,13416,6,1984-09-24,1984-09-29
1985-02-25,13570,8,1985-02-25,1985-03-04
1985-04-16,13620,7,1985-04-16,1985-04-22
1985-06-16,13681,7,1985-06-16,1985-06-22
1985-07-28,13723,6,1985-07-28,1985-08-02
1985-10-18,13805,7,1985-10-18,1985-10-24
1986-02-03,13913,5,1986-02-03,1986-02-07
1986-06-09,14039,25,1986-06-09,1986-07-03
1986-07-05,14065,7,1986-07-05,1986-07-11
1986-08-24,14115,7,1986-08-24,1986-08-30
1986-12-21,14234,5,1986-12-21,1986-12-25
1987-01-25,14269,5,1987-01-25,1987-01-29
1987-02-11,14286,8,1987-02-11,1987-02-18
1987-03-07,14310,9,1987-03-07,1987-03-15
1987-07-15,14440,7,1987-07-15,1987-07-21
1987-11-22,14570,11,1987-11-22,1987-12-02
1988-02-13,14653,9,1988-02-13,1988-02-21
1988-03-11,14680,7,1988-03-11,1988-03-17
1988-12-28,14972,5,1988-12-28,1989-01-01
1989-05-21,15116,13,1989-05-21,1989-06-02
1989-07-05,15161,14,1989-07-05,1989-07-18
1989-08-03,15190,13,1989-08-03,1989-08-15
1989-09-11,15229,7,1989-09-11,1989-09-17
1989-11-18,15297,7,1989-11-18,1989-11-24
1989-12-19,15328,6,1989-12-19,1989-12-24
1990-06-21,15512,15,1990-06-21,1990-07-05
1990-08-15,15567,5,1990-08-15,1990-08-19
1991-03-15,15779,8,1991-03-15,1991-03-22
1991-04-01,15796,5,1991-04-01,1991-04-05
1991-04-18,15813,8,1991-04-18,1991-04-25
1991-06-23,15879,6,1991-06-23,1991-06-28
1991-07-21,15907,5,1991-07-21,1991-07-25
1991-08-12,15929,6,1991-08-12,1991-08-17
1991-09-01,15949,5,1991-09-01,1991-09-05
1991-09-10,15958,7,1991-09-10,1991-09-16
1991-11-03,16012,8,1991-11-03,1991-11-10
1992-01-17,16087,5,1992-01-17,1992-01-21
1992-01-26,16096,9,1992-01-26,1992-02-03
1992-06-07,16229,11,1992-06-07,1992-06-17
1992-08-18,16301,6,1992-08-18,1992-08-23
1992-09-02,16316,8,1992-09-02,1992-09-09
1992-11-26,16401,6,1992-11-26,1992-12-01
1993-03-04,16499,8,1993-03-04,1993-03-11
1993-04-08,16534,5,1993-04-08,1993-04-12
1993-04-24,16550,11,1993-04-24,1993-05-04
1993-06-20,16607,6,1993-06-20,1993-06-25
