time,SOI
1987-02-01,1.1068571
1987-03-01,0.69991887
1987-04-01,0.09501378
1987-05-01,-0.05439382
1987-06-01,-0.097007856
1987-07-01,-0.37680554
1987-08-01,0.4056457
1987-09-01,0.758227
1987-10-01,1.7169689
1987-11-01,1.9666709
1987-12-01,1.7045244
1988-01-01,2.38934
1988-02-01,1.9266787
1988-03-01,2.330404
1988-04-01,1.3486935
1988-05-01,1.8513101
1988-06-01,1.1422334
1988-07-01,1.7766063
1988-08-01,2.4149306
1988-09-01,3.237374
1988-10-01,2.9817636
1988-11-01,3.2065768
1988-12-01,2.996867
1989-01-01,3.8658018
1989-02-01,3.2786586
1989-03-01,2.7563229
1989-04-01,2.540077
1989-05-01,2.0197353
1989-06-01,1.5806705
1989-07-01,1.6114677
1989-08-01,0.9273168
1989-09-01,2.1173708
1989-10-01,2.5073225
1989-11-01,1.7654543
1989-12-01,1.6507952
1990-01-01,2.3932912
1990-02-01,0.77133614
1990-03-01,1.4594383
1990-04-01,1.4502435
1990-05-01,1.9253492
1990-06-01,0.9522058
1990-07-01,1.1723659
1990-08-01,0.93518233
1990-09-01,0.9980694
1990-10-01,1.8231347
1990-11-01,1.6016082
1990-12-01,1.8736142
1991-01-01,2.9666975
1991-02-01,2.4168878
1991-03-01,1.2327051
1991-04-01,0.623221
1991-05-01,0.028175483
1991-06-01,0.68747437
1991-07-01,0.8598138
1991-08-01,0.8361804
1991-09-01,0.49216622
1991-10-01,1.075432
1991-11-01,1.4456644
1991-12-01,0.8250653
1992-01-01,0.22281896
1992-02-01,1.8205129
1992-03-01,0.20841733
1992-04-01,0.4423514
1992-05-01,1.2457774
1992-06-01,0.36897695
1992-07-01,0.477063
1992-08-01,1.5216976
1992-09-01,1.8755714
1992-10-01,0.74511784
1992-11-01,1.3414558
1992-12-01,1.5243195
1993-01-01,1.6815926
1993-02-01,1.6723977
1993-03-01,1.6304483
1993-04-01,0.33422843
1993-05-01,0.78573775
1993-06-01,0.23068446
1993-07-01,0.40106675
1993-08-01,0.41288346
1993-09-01,1.131746
1993-10-01,0.7890243
1993-11-01,2.0053337
1993-12-01,2.180295
1994-01-01,2.2569928
1994-02-01,2.652151
1994-03-01,1.2438202
1994-04-01,0.24117179
1994-05-01,0.46332607
1994-06-01,0.54656005
1994-07-01,-0.15073699
1994-08-01,0.1704192
1994-09-01,0.37680554
1994-10-01,0.9580772
1994-11-01,1.4764618
1994-12-01,1.0669018
1995-01-01,2.1134567
1995-02-01,2.306106
1995-03-01,2.4515994
1995-04-01,0.6946752
1995-05-01,0.71169865
1995-06-01,0.95940655
1995-07-01,1.3480288
1995-08-01,1.4318906
1995-09-01,1.9358735
1995-10-01,1.921435
1995-11-01,2.0702147
1995-12-01,1.5374286
1996-01-01,3.262263
1996-02-01,2.4673305
1996-03-01,2.7386348
1996-04-01,1.8873881
1996-05-01,1.1966271
1996-06-01,1.7464738
1996-07-01,1.2726604
1996-08-01,1.5557445
1996-09-01,2.1108348
1996-10-01,2.0335093
1996-11-01,1.682922
1996-12-01,2.659352
1997-01-01,2.6193597
1997-02-01,3.6325324
1997-03-01,1.1370265
1997-04-01,0.3237411
1997-05-01,-0.13304883
1997-06-01,-0.48692256
1997-07-01,0.07533157
1997-08-01,-0.22872731
1997-09-01,0.55243146
1997-10-01,0.64482343
1997-11-01,0.861771
1997-12-01,1.2589234
1998-01-01,0.005243668
1998-02-01,0.54722476
1998-03-01,-0.36897695
1998-04-01,0.0511073
