,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1930,-1.97,-1.33,-1.06,-0.41,-1.14,-1.24,-1.63,-0.57,-1.9,-1.86,-2.0,-1.15
1931,-1.65,-2.72,-1.47,-0.9,-1.15,-1.45,-0.76,-1.55,-2.17,-0.15,0.49,-0.44
1932,-1.89,-1.44,-0.81,-0.16,-1.2,-1.05,-1.77,-2.13,-1.1,0.37,-0.06,-0.89
1933,0.06,-0.28,0.08,-0.56,-1.2,-1.79,-0.57,-0.8,-0.4,-0.31,-0.83,0.07
1934,-1.89,-0.88,-1.14,0.06,-1.39,-0.73,-1.15,-0.32,-0.25,-0.24,1.2,2.67
1935,1.57,1.23,0.59,0.85,-1.21,-0.77,-0.77,-0.55,-2.25,0.13,-1.9,1.43
1936,-0.4,-1.15,-2.31,0.45,-1.86,-0.82,-1.0,0.27,-0.92,0.67,-0.23,-1.39
1937,-1.82,-2.94,-0.77,-1.06,-0.63,-1.9,-1.11,-0.33,-0.85,-1.0,0.32,0.77
1938,0.64,1.72,1.52,2.42,0.59,-0.52,-1.42,-0.56,-0.4,0.2,0.44,-1.69
1939,-2.59,-1.45,0.02,-0.06,-0.27,0.7,-2.07,-1.16,-0.81,-0.91,0.04,0.41
1940,0.16,-2.0,-1.75,-2.05,-1.77,-0.87,-0.78,-0.1,-0.08,-0.71,-1.0,0.61
1941,0.11,-0.68,0.25,-1.65,-0.57,-2.02,-0.71,-1.73,-0.58,-1.33,-0.6,-1.05
1942,-1.89,-1.65,-0.98,-0.25,-0.31,-0.53,-0.05,-0.25,-0.21,0.6,-0.01,-1.4
1943,-0.65,-0.88,-1.31,-0.35,-1.86,-0.36,-1.21,-1.92,-1.17,-1.1,0.08,0.57
1944,-0.3,-0.54,-0.75,0.3,-1.43,-1.23,-0.31,-1.11,-1.24,-0.64,-0.8,-1.93
1945,-0.47,-0.65,-1.38,-0.67,-1.88,-1.9,-1.65,0.55,-0.68,-1.92,0.23,-2.48
1946,-1.44,-0.65,-0.35,-0.32,0.09,-0.2,0.54,-0.54,-0.43,-1.25,-3.08,-2.05
1947,-2.11,-1.46,-0.33,-0.69,-0.59,-0.53,-0.42,-0.13,-0.27,-0.37,-0.07,0.36
1948,0.39,-0.62,0.23,-0.42,-0.28,-1.03,0.51,-0.54,-0.29,-0.73,-0.69,-0.32
1949,-1.79,0.35,-1.21,-1.98,-0.81,-0.17,0.81,-0.83,-0.91,0.9,-0.52,-1.02
1950,-0.64,-1.51,-1.14,-1.19,1.19,-0.7,-0.51,-1.32,-0.32,0.26,0.35,-0.27
1951,-1.05,-1.0,0.06,0.05,-1.4,-1.83,-0.08,-1.46,-0.36,-0.27,-0.44,-1.89
1952,-1.96,-0.18,-1.01,-0.07,-0.53,-0.66,-1.31,0.08,0.0,0.26,-0.42,0.01
1953,-1.63,-1.57,-0.73,-0.9,-0.43,-0.56,-0.47,-0.01,-0.27,-0.64,0.85,-0.21
1954,-0.53,0.6,0.83,-1.05,0.28,0.65,-0.44,-0.76,-0.76,-0.46,1.38,0.09
1955,-0.2,0.77,0.32,0.9,0.75,-0.99,-0.9,0.25,0.04,0.76,-0.01,0.42
1956,1.88,-0.1,-1.08,2.45,0.2,0.58,-0.1,-0.62,0.03,0.4,0.19,-0.09
1957,-0.13,0.7,1.19,0.73,0.08,-0.32,-0.94,0.19,-0.33,-0.99,-0.44,-1.52
1958,-1.42,0.73,0.64,-1.27,-0.45,-0.59,-1.3,-0.38,-1.04,1.06,0.75,0.65
1959,0.37,-0.38,0.17,-0.08,-2.66,-1.13,-0.37,-0.42,0.06,-1.39,0.11,0.27
1960,0.27,-0.57,-1.08,-0.55,0.07,0.05,0.06,-0.88,-0.36,0.58,-0.33,-1.32
1961,-0.69,-0.5,-1.2,-0.4,-0.76,-0.84,-0.63,-0.98,-0.95,1.62,0.36,1.08
1962,1.03,-0.53,0.21,-0.29,1.48,0.6,0.54,-0.22,-0.4,1.22,0.15,-0.15
1963,0.01,0.48,-0.9,-1.29,-0.58,-1.02,-0.56,-1.42,-0.47,0.39,-1.15,-1.22
1964,-1.92,-0.4,-0.46,-0.8,-1.02,-0.74,0.38,-0.7,-0.86,-0.41,-0.5,0.37
1965,0.78,-1.29,-0.58,-0.63,-0.98,-0.61,-1.38,-0.97,-0.45,-1.29,-0.77,-0.54
1966,-0.94,1.24,0.71,0.06,-1.44,-0.57,-0.66,-1.33,-0.63,-0.28,-0.77,-0.91
1967,-0.9,-0.95,0.24,0.16,-0.29,-1.13,-0.69,1.02,-1.18,0.42,-0.62,-0.16
1968,-0.9,-0.47,2.06,-0.27,0.37,-0.28,-1.07,-0.03,-1.17,-1.01,-0.81,-1.23
1969,-0.8,-1.31,-0.1,-1.04,-0.54,-1.75,-1.17,-0.32,0.92,-1.19,0.79,1.37
1970,1.1,-0.5,0.8,0.62,-1.27,0.15,0.7,0.28,-0.03,0.26,0.44,0.57
1971,0.63,1.23,0.57,0.59,0.93,1.48,-0.3,0.52,-0.14,-0.14,0.04,0.54
1972,-0.95,-1.2,1.05,0.28,-0.7,-1.95,-0.05,-1.52,0.62,0.3,1.24,-1.55
1973,-0.33,0.39,0.27,-0.01,-0.1,0.12,-0.58,-0.3,0.35,0.23,0.54,0.37
1974,-0.97,1.3,-1.25,0.56,-0.12,-0.36,0.46,-0.62,0.39,-0.2,0.94,1.48
1975,1.47,0.52,1.13,0.78,0.36,-1.16,-0.61,0.11,-0.35,-0.1,-0.79,-1.36
1976,-0.94,-2.92,0.05,-0.23,-0.69,-1.19,-0.44,-0.11,-1.04,-1.2,-1.52,-0.32
1977,-1.72,-0.73,0.17,-0.08,-1.96,-0.42,0.03,-0.41,-2.23,-0.55,-0.98,-1.18
1978,0.35,0.76,0.86,2.15,-0.05,-0.95,0.51,0.16,-0.24,-0.83,0.06,-0.28
1979,0.05,-0.6,0.57,-0.2,-0.8,0.38,0.37,-0.82,-0.0,-0.19,0.63,-0.08
1980,-0.38,-0.7,-1.09,-0.51,-0.02,-0.44,-0.36,-0.34,0.33,0.9,-1.19,-0.46
1981,0.72,0.29,1.23,1.33,-0.63,0.61,-0.04,-1.22,-0.64,-0.1,0.25,1.19
1982,-0.29,0.6,0.06,-1.38,-0.0,-0.99,-0.87,0.08,-0.73,-1.46,0.69,-1.62
1983,-1.49,-1.56,-0.2,-0.55,-0.6,-0.34,-0.93,-0.14,-0.11,0.35,-0.24,-1.11
1984,-2.06,-0.67,0.91,-0.05,-1.13,0.59,0.76,0.92,-0.23,-0.15,1.15,0.82
1985,1.29,-0.0,-0.2,0.46,-0.32,0.85,0.94,-0.44,0.36,-0.72,-0.22,0.91
1986,1.44,0.14,-0.11,1.06,-0.18,-0.22,-0.8,-1.04,-0.47,0.48,0.11,0.15
1987,0.82,-0.71,-0.93,-0.11,0.55,0.2,0.15,1.12,0.1,0.28,0.55,-0.08
1988,-0.15,0.27,-0.85,-1.23,-1.01,0.42,1.0,0.42,1.31,1.12,1.06,1.46
1989,1.29,-0.27,0.67,0.21,0.12,0.1,-0.65,0.43,0.8,1.04,0.92,-0.37
1990,0.06,1.58,1.0,0.6,0.54,-0.02,0.38,0.22,-0.63,0.29,0.09,0.42
1991,-0.27,-0.56,0.05,-0.55,-0.4,-1.07,-0.78,0.69,0.32,-0.27,-1.51,-0.94
1992,-0.35,-1.31,-1.85,-2.22,-2.05,-1.31,0.24,-1.28,-1.85,-1.01,0.41,-0.97
1993,-1.4,-1.72,-1.51,-1.16,-0.18,0.96,0.07,-0.87,-1.25,0.51,-1.51,-1.17
1994,0.12,0.44,-0.98,0.31,0.05,-0.78,-0.46,0.36,-0.98,-0.97,-0.3,-0.14
1995,-0.34,0.27,0.08,1.25,0.4,-0.2,-1.11,-0.43,-0.19,-0.35,-0.71,1.06
1996,0.37,0.12,-0.93,0.75,-0.47,-0.84,-0.19,-0.84,1.09,0.61,-1.0,-0.59
1997,-1.38,0.23,-0.8,-0.73,0.74,-0.35,-0.55,-0.25,-1.01,0.29,0.26,-0.46
1998,0.6,2.39,1.45,0.55,0.63,0.43,1.78,-0.26,0.59,0.99,0.05,0.41
1999,1.6,1.03,1.89,0.34,1.33,0.36,0.52,-0.09,0.52,1.35,0.77,-0.73
2000,-0.7,-0.11,-0.34,0.45,0.74,0.74,1.53,-0.06,0.01,0.36,-1.6,1.14
2001,-1.17,0.52,0.23,0.28,0.53,0.07,-1.08,0.67,0.68,1.36,0.44,0.91
2002,0.01,-0.97,0.49,-0.12,0.49,1.33,0.21,0.4,0.65,-1.03,-0.76,0.01
2003,-0.57,-0.71,1.01,-0.42,0.72,1.64,-0.72,0.07,-0.02,-0.5,-0.57,0.21
2004,1.14,-1.24,-1.14,-1.16,0.54,0.98,-0.74,-1.2,-0.72,-0.11,0.61,-2.23
2005,-0.26,1.33,0.33,-0.53,0.62,-0.4,1.25,0.96,0.61,0.07,0.13,1.9
2006,-0.04,0.1,-1.27,1.33,0.12,-1.41,0.25,-0.1,0.95,-0.18,-0.17,-2.07
2007,-0.49,-0.2,1.03,-0.43,1.55,-0.74,0.14,0.13,-0.0,-0.43,-0.31,0.49
2008,1.23,0.4,0.83,0.44,-1.22,0.29,0.47,-0.45,0.5,-0.02,0.36,0.18
2009,0.63,-0.2,-0.52,0.26,-1.95,-1.07,-0.56,1.42,-0.05,-1.45,-0.02,-0.35
2010,-0.36,0.54,0.39,1.0,0.48,0.18,-0.21,0.79,0.4,-0.35,1.09,1.55
2011,0.25,0.59,0.07,-0.34,1.97,1.31,0.06,-0.78,-0.81,0.37,-0.18,0.18
2012,-0.76,-0.81,-1.1,0.35,-0.6,-0.76,0.61,1.08,0.27,-0.29,-0.95,1.14
2013,0.15,-0.17,0.99,0.86,0.32,0.41,1.19,1.65,0.34,0.75,1.38,0.81
2014,-1.01,-0.0,-0.46,1.16,0.48,1.64,0.23,-0.22,0.29,0.07,-0.41,0.34
2015,1.07,-0.33,1.03,0.75,0.18,0.18,-0.17,-0.31,-0.84,0.47,-0.18,-0.14
2016,0.45,2.24,1.29,0.92,2.11,1.56,0.74,-0.52,0.46,0.67,0.39,-0.29
2017,-0.72,-0.06,0.33,0.73,-0.33,0.18,0.06,1.25,0.67,0.95,1.08,2.39
2018,3.15,0.81,1.26,0.1,0.34,-0.02,1.07,0.86,-0.03,0.33,0.49,1.28
2019,1.72,0.6,1.89,-0.1,1.71,0.12,1.69,0.06,-0.07,-0.27,1.55,0.28
2020,0.08,0.96,-0.27,0.23,0.45,1.38,0.8,1.24,0.49,1.15,0.91,0.14
2021,0.37,0.09,0.61,0.93,0.67,,,,,,,
