,CEI
1959-12-01,-1.6066362467073163
1960-01-01,-1.3181037625313878
1960-02-01,-0.8424218037518201
1960-03-01,-0.8284367241699371
1960-04-01,-1.0279762462462732
1960-05-01,-1.299056397089053
1960-06-01,-1.0409850276896926
1960-07-01,-0.9277378312920713
1960-08-01,-0.9384401447946722
1960-09-01,-1.1355267447920228
1960-10-01,-1.0065975087965
1960-11-01,-0.8966106745450482
1960-12-01,-0.9166166818945671
1961-01-01,-0.8598975658784156
1961-02-01,-0.8366611081628267
1961-03-01,0.04371907384827106
1961-04-01,-0.38192473084428535
1961-05-01,-0.23901356051883493
1961-06-01,-0.764151434775072
1961-07-01,-0.5595894898005941
1961-08-01,-0.5932133159782538
1961-09-01,-0.728897564757416
1961-10-01,-0.6903247470935512
1961-11-01,-0.9650514494011577
1961-12-01,-1.5219570894899692
1962-01-01,-2.2214246695769697
1962-02-01,-2.1010509460040154
1962-03-01,-1.5567571163587406
1962-04-01,-1.0980828138121654
1962-05-01,-1.50978884085032
1962-06-01,-1.7482789205715523
1962-07-01,-1.6145990738263865
1962-08-01,-1.3290328983361994
1962-09-01,-1.207346358983858
1962-10-01,-1.593747432534078
1962-11-01,-1.569806611421237
1962-12-01,-1.5368928231942607
1963-01-01,-1.5108722234036935
1963-02-01,-1.4179958146450757
1963-03-01,-1.6247829168420438
1963-04-01,-1.3345341931002614
1963-05-01,-1.2498398636528294
1963-06-01,-0.44064708726055146
1963-07-01,0.09388053391390504
1963-08-01,0.4637475748072321
1963-09-01,0.5758850926829737
1963-10-01,1.1843370969184246
1963-11-01,1.7251890149364266
1963-12-01,2.0468362386794183
1964-01-01,1.793144811861093
1964-02-01,1.3561400233661447
1964-03-01,0.30466587437843956
1964-04-01,-0.6692215318183844
1964-05-01,-1.3371640540610255
1964-06-01,-1.7730842196662868
1964-07-01,-1.9045002867411205
1964-08-01,-2.5604282079433394
1964-09-01,-2.7751779148698232
1964-10-01,-3.0447609169391345
1964-11-01,-2.572808020017555
1964-12-01,-2.086002296821061
1965-01-01,-1.3752285910159026
1965-02-01,-1.190859530900866
1965-03-01,-1.289735971407557
1965-04-01,-0.8914872702520169
1965-05-01,-0.5405488054229911
1965-06-01,0.3818423054611766
1965-07-01,1.2893331431220794
1965-08-01,2.0452669199672053
1965-09-01,2.5968210682253385
1965-10-01,2.3711820511109334
1965-11-01,2.9165848638293443
1965-12-01,2.4853972462598897
1966-01-01,2.5330730039087377
1966-02-01,1.8700506769720968
1966-03-01,2.160431487872017
1966-04-01,1.6295234447082265
1966-05-01,1.3891925686607731
1966-06-01,0.6030838034617566
1966-07-01,0.3427628817066434
1966-08-01,-0.4551372181587336
1966-09-01,-0.3957912913052962
1966-10-01,-0.40924255079720845
1966-11-01,-0.24629462573753874
1966-12-01,-0.3601725602501096
1967-01-01,-0.9792904522517247
1967-02-01,-1.4720617802102725
1967-03-01,-2.0828040330186584
1967-04-01,-1.7178423975620722
1967-05-01,-1.2448369503516934
1967-06-01,-1.1144840405034255
1967-07-01,-1.1086187011695514
1967-08-01,-1.3732056160018606
1967-09-01,-1.1145848243841587
1967-10-01,-1.1211495494044708
1967-11-01,-0.7457418171557635
1967-12-01,-0.47610380391292834
1968-01-01,-0.6891547706179288
1968-02-01,-1.2230030829780545
1968-03-01,-1.4918421652543983
1968-04-01,-1.3604654442178488
1968-05-01,-1.6957461527500879
1968-06-01,-2.0242229567598695
1968-07-01,-2.011054018203536
1968-08-01,-1.1969456194647707
1968-09-01,-0.31328135849739747
1968-10-01,0.2065914702503429
1968-11-01,0.5128959173355938
1968-12-01,0.3911069193363025
1969-01-01,1.0014603465129461
1969-02-01,1.3022512089754583
1969-03-01,1.3064134157547531
1969-04-01,0.9844128390962851
1969-05-01,0.906649060402346
1969-06-01,0.7843312726106247
1969-07-01,0.5834774092027488
1969-08-01,0.4049518944387482
1969-09-01,0.9218372585072541
1969-10-01,1.087173696852611
1969-11-01,1.1345094059636733
1969-12-01,0.7232244067937338
1970-01-01,0.7106774593622776
1970-02-01,0.9224035024966697
1970-03-01,0.6812796352828321
1970-04-01,0.2865481267917447
1970-05-01,-0.3226657372561408
1970-06-01,-0.8538207394890077
1970-07-01,-0.9813968618680775
1970-08-01,-1.3147226504933003
1970-09-01,-1.4991045093457833
1970-10-01,-2.322280850665411
1970-11-01,-2.855028255485178
1970-12-01,-3.107997926190734
1971-01-01,-2.910974335638127
1971-02-01,-2.8812224690574215
1971-03-01,-3.1088370631086915
1971-04-01,-3.740760701215507
1971-05-01,-3.5765401857290984
1971-06-01,-2.8428983895007818
1971-07-01,-2.091288929283684
1971-08-01,-2.2356311935355624
1971-09-01,-2.5365575391003357
1971-10-01,-3.2000537385715386
1971-11-01,-2.7947304017790007
1971-12-01,-2.3454325013102375
1972-01-01,-1.7624832280297111
1972-02-01,-1.6875828045864938
1972-03-01,-1.5722583439846143
1972-04-01,-1.0770840974544529
1972-05-01,0.11818361363705115
1972-06-01,1.0206028312281632
1972-07-01,2.0100734307012034
1972-08-01,2.0310768379565274
1972-09-01,2.501505524513587
1972-10-01,2.37820140167449
1972-11-01,2.6136630013665063
1972-12-01,2.7718793430644224
1973-01-01,2.6768350151371463
1973-02-01,2.907947280050953
1973-03-01,2.0152474698419063
1973-04-01,1.3165761441213102
1973-05-01,0.028892185447316865
1973-06-01,-1.1084627075006077
1973-07-01,-1.9860945195324806
1973-08-01,-2.785789719379315
1973-09-01,-2.9178711473136048
1973-10-01,-3.2892361935687897
1973-11-01,-4.098721771974438
1973-12-01,-4.427363833239464
1974-01-01,-4.856864865382558
1974-02-01,-4.311883731959773
1974-03-01,-4.408829964975039
1974-04-01,-3.8487631597823775
1974-05-01,-3.581230573229761
1974-06-01,-2.743571816886501
1974-07-01,-2.662975132620306
1974-08-01,-2.281766746489728
1974-09-01,-2.3262295156738286
1974-10-01,-2.091308262158905
1974-11-01,-1.6718131545946338
1974-12-01,-1.2435594523890203
1975-01-01,-0.7243920549178264
1975-02-01,-0.9986591614646994
1975-03-01,-1.6008833883688718
1975-04-01,-2.211771132978261
1975-05-01,-2.3623978839049347
1975-06-01,-2.792571511350177
1975-07-01,-3.334965646130574
1975-08-01,-3.976663432569718
1975-09-01,-4.221820023126368
1975-10-01,-4.191552671383967
1975-11-01,-3.8322185769678736
1975-12-01,-3.877478717429399
1976-01-01,-3.7242975841241
1976-02-01,-3.5981267181162586
1976-03-01,-3.2488368115287694
1976-04-01,-2.785168114093362
1976-05-01,-2.2358443040778173
1976-06-01,-1.3734702253319757
1976-07-01,-0.4829727162795945
1976-08-01,0.26608979196929056
1976-09-01,1.1670645198879839
1976-10-01,0.8558093181970667
1976-11-01,0.4303876765339988
1976-12-01,0.1843899755506605
1977-01-01,0.6119800759273071
1977-02-01,0.6808818904755184
1977-03-01,0.6478293203536984
1977-04-01,0.45835739703392814
1977-05-01,0.9108668418056985
1977-06-01,1.1140798790140645
1977-07-01,1.4516098750106226
1977-08-01,1.4215191624376173
1977-09-01,1.3827015881905496
1977-10-01,1.41069089746645
1977-11-01,1.6815416380547747
1977-12-01,1.8300628456423138
1978-01-01,1.652952874450407
1978-02-01,1.7979205741348487
1978-03-01,1.2934956236008057
1978-04-01,1.065835383288623
1978-05-01,-0.6720092844708416
1978-06-01,-1.3938519341622069
1978-07-01,-1.978666613584473
1978-08-01,-1.5542433032850087
1978-09-01,-1.2288411303174376
1978-10-01,-0.7297411898066439
1978-11-01,-0.42361603624848265
1978-12-01,-0.2781774379902186
1979-01-01,-0.17814779037451742
1979-02-01,-0.3926351332802579
1979-03-01,-0.34026985718296904
1979-04-01,-0.2989657189734394
1979-05-01,-0.3215611124039336
1979-06-01,-0.6722160793099761
1979-07-01,-0.4735282518134163
1979-08-01,-0.17236119771011948
1979-09-01,0.1950354704602178
1979-10-01,0.0010646178641286128
1979-11-01,0.21908078986835175
1979-12-01,0.7407674078450046
1980-01-01,0.7279636911182334
1980-02-01,0.46625954085762655
1980-03-01,0.34142149974117175
1980-04-01,0.6595510718281885
1980-05-01,0.6762569307280129
1980-06-01,0.5123183265127507
1980-07-01,0.22843450558588957
1980-08-01,-0.05157404030945567
1980-09-01,0.03151469085976012
1980-10-01,-0.08231437222270174
1980-11-01,0.11553299179478124
1980-12-01,-0.04743977726796142
1981-01-01,-0.1712885880760576
1981-02-01,-0.3323553796267739
1981-03-01,-0.00609837026562271
1981-04-01,0.06905075051692933
1981-05-01,-0.507329879756282
1981-06-01,-1.5366554756489073
1981-07-01,-1.994752511696138
1981-08-01,-1.8988160180523277
1981-09-01,-1.5083604120640501
1981-10-01,-0.9179954618878898
1981-11-01,-0.6728000634128989
1981-12-01,-0.5006044012286845
1982-01-01,-0.8076864973556384
1982-02-01,-0.7863074282934217
1982-03-01,-0.7282271619773419
1982-04-01,-0.2261209332920744
1982-05-01,0.21391536107415682
1982-06-01,1.2050779423433773
1982-07-01,2.0857138688434174
1982-08-01,2.7909133307563208
1982-09-01,3.2119953742682754
1982-10-01,3.47959885879528
1982-11-01,4.104994486950697
1982-12-01,4.49258549211009
1983-01-01,5.221313665110391
1983-02-01,5.211550304210586
1983-03-01,5.146443695217092
1983-04-01,4.294103731056598
1983-05-01,2.705366611208591
1983-06-01,1.4473634583339432
1983-07-01,0.8666975858935597
1983-08-01,0.7007681541060083
1983-09-01,0.0031455380705450453
1983-10-01,-0.9768012897281583
1983-11-01,-1.2768893126954843
1983-12-01,-1.1737578379445648
1984-01-01,-1.1278909861683581
1984-02-01,-1.3062229878646967
1984-03-01,-1.0777246549060473
1984-04-01,-1.0152629689000938
1984-05-01,-0.8030339627822681
1984-06-01,-0.6921184004290732
1984-07-01,-0.7215317696794629
1984-08-01,-0.770820370807515
1984-09-01,-0.9789912342169482
1984-10-01,-0.7323166110249493
1984-11-01,-0.7296413386795072
1984-12-01,-0.8390276343724755
1985-01-01,-1.0826953159436075
1985-02-01,-1.2984677000093665
1985-03-01,-1.4346811509021904
1985-04-01,-2.0280126572514385
1985-05-01,-1.9023938713363493
1985-06-01,-1.5138457799719927
1985-07-01,-0.9361647947480615
1985-08-01,-1.0893012202521306
1985-09-01,-1.2306130418699825
1985-10-01,-1.0318311070110189
1985-11-01,-0.43685619006521936
1985-12-01,-0.46355933551995476
1986-01-01,-0.921539738071703
1986-02-01,-0.7008572216714138
1986-03-01,-0.7605783751464638
