,Year,Month,soi3m,nino5m,CEI,category,code
1998-10-01,1998,10,1.3230294996664242,-1.2123769455648512,-2.5354064452312755,CEI NINA,-3.0
1998-11-01,1998,11,1.2717882510878666,-1.4811751110386915,-2.7529633621265583,CEI NINA,-3.0
1998-12-01,1998,12,1.367317071879769,-1.6638159759662245,-3.0311330478459935,CEI NINA,-3.0
1999-01-01,1999,1,1.4629327485046846,-1.765107953278217,-3.2280407017829016,CEI NINA,-3.0
1999-02-01,1999,2,1.3400657108233722,-1.7755918699961124,-3.1156575808194846,CEI NINA,-3.0
1999-03-01,1999,3,1.2981854649799451,-1.6530167534823832,-2.9512022184623286,CEI NINA,-3.0
1999-04-01,1999,4,1.3500013494655825,-1.5636275688350734,-2.913628918300656,CEI NINA,-3.0
1999-05-01,1999,5,1.1859768700259852,-1.4148820737473522,-2.6008589437733374,CEI NINA,-3.0
1999-06-01,1999,6,0.8936974984073134,-1.265584793569211,-2.1592822919765244,NINO3.4 NINA,-1.0
1999-07-01,1999,7,0.5627101183056382,-1.2033907312352332,-1.7661008495408714,NINO3.4 NINA,-1.0
1999-08-01,1999,8,0.615127257535317,-1.2741768756913923,-1.8893041332267093,NINO3.4 NINA,-1.0
1999-09-01,1999,9,0.43851452855848744,-1.2949082298027164,-1.7334227583612039,NINO3.4 NINA,-1.0
1999-10-01,1999,10,0.5565582569974258,-1.3353461942860223,-1.8919044512834482,NINO3.4 NINA,-1.0
1999-11-01,1999,11,0.7910326348886304,-1.4409736258798478,-2.232006260768478,NINO3.4 NINA,-1.0
1999-12-01,1999,12,1.283457425302273,-1.5952369718717259,-2.878694397173999,CEI NINA,-3.0
2000-01-01,2000,1,1.0903958225828017,-1.729636054608648,-2.8200318771914494,CEI NINA,-3.0
2000-02-01,2000,2,1.1103200937158137,-1.8323469078674208,-2.9426670015832346,CEI NINA,-3.0
2000-03-01,2000,3,1.1056887785302145,-1.7712564157142763,-2.876945194244491,CEI NINA,-3.0
2000-04-01,2000,4,1.4883243238259445,-1.594369881015365,-3.0826942048413093,CEI NINA,-3.0
2000-05-01,2000,5,1.301406604026945,-1.3675862088545931,-2.6689928128815383,CEI NINA,-3.0
2000-06-01,2000,6,0.7675360418901285,-1.1024140596891951,-1.8699501015793236,NINO3.4 NINA,-1.0
