time,WEST,EAST,IOD
1869-08-01,0.56180733,0.99299145,-0.4311841
1869-09-01,0.011406977,1.2647142,-1.2533072
1869-10-01,0.29802108,0.81838316,-0.5203621
1869-11-01,0.3750188,0.29963863,0.07538018
1869-12-01,-0.38047817,0.0027085377,-0.3831867
1870-01-01,-0.36700752,-0.23193462,-0.1350729
1870-02-01,-0.49289027,-0.6454044,0.15251413
1870-03-01,-0.19644435,-0.7646873,0.56824297
1870-04-01,-0.0267521,-0.4301887,0.4034366
1870-05-01,0.0010832573,0.13860315,-0.1375199
1870-06-01,-0.4259508,0.8669925,-1.2929432
1870-07-01,0.38396665,0.6339752,-0.25000855
1870-08-01,0.06313875,1.4062802,-1.3431414
1870-09-01,0.9385299,0.9455714,-0.007041514
1870-10-01,1.2720373,0.32929283,0.94274443
1870-11-01,1.2271113,-0.33578235,1.5628936
1870-12-01,0.21825396,0.27362546,-0.055371508
1871-01-01,0.109137915,-0.075333446,0.18447137
1871-02-01,-0.072612986,-0.02618006,-0.046432927
1871-03-01,-0.22886686,-0.20612392,-0.022742942
1871-04-01,-0.6345674,0.23906064,-0.873628
1871-05-01,-1.2734952,-0.21565175,-1.0578434
1871-06-01,-1.2165828,-0.77335954,-0.44322324
1871-07-01,-1.0064106,0.71951073,-1.7259214
1871-08-01,-1.3797194,-0.293951,-1.0857683
1871-09-01,-1.3257943,-0.8940202,-0.43177414
1871-10-01,-0.37880543,-0.7281376,0.34933218
1871-11-01,0.5433393,-0.7831447,1.326484
1871-12-01,0.892425,-0.8081744,1.7005994
1872-01-01,1.1189299,-0.6315996,1.7505295
1872-02-01,0.961779,-1.3542972,2.3160763
1872-03-01,-0.3603663,-0.26325938,-0.09710693
1872-04-01,-0.44986215,-0.4551084,0.005246252
1872-05-01,-0.025246255,0.0013764745,-0.02662273
1872-06-01,0.13040283,0.7959394,-0.6655365
1872-07-01,-0.19767809,0.39856654,-0.59624463
1872-08-01,-0.46256927,0.34853852,-0.81110775
1872-09-01,-0.39263257,-0.19139332,-0.20123926
1872-10-01,-0.22532104,-0.08143481,-0.14388624
1872-11-01,0.1329398,0.036735594,0.09620421
1872-12-01,-0.042602856,0.26303455,-0.30563742
1873-01-01,0.08822451,-0.11505832,0.20328283
1873-02-01,-0.3671577,-0.26389933,-0.10325837
1873-03-01,-0.468055,-0.38514373,-0.08291128
1873-04-01,-0.72934216,-0.39522502,-0.33411714
1873-05-01,0.36586297,-0.65849966,1.0243626
1873-06-01,0.6522956,-0.9304087,1.5827043
1873-07-01,-1.021746,-0.60773945,-0.4140066
1873-08-01,-2.0025601,-0.19258735,-1.8099728
1873-09-01,-0.9851785,0.7230871,-1.7082655
1873-10-01,-0.39287823,-0.14022976,-0.25264847
1873-11-01,0.13856526,-0.11605411,0.25461936
1873-12-01,0.3333077,0.39363596,-0.060328245
1874-01-01,0.19953683,0.68510544,-0.4855686
1874-02-01,0.31906182,0.36915842,-0.0500966
1874-03-01,0.4103633,0.54724514,-0.13688186
1874-04-01,0.09045304,0.2878415,-0.19738846
1874-05-01,-0.11028338,-0.34862614,0.23834276
1874-06-01,-0.7618766,-0.388751,-0.37312558
1874-07-01,-0.09114373,-0.57081753,0.4796738
1874-08-01,-0.44245815,-0.58837885,0.1459207
1874-09-01,-1.1545604,-0.42395052,-0.7306099
1874-10-01,-1.5430523,0.24400377,-1.7870561
1874-11-01,-1.6421734,-0.5947557,-1.0474176
1874-12-01,-0.9656511,-0.027026553,-0.93862456
1875-01-01,-0.772407,0.2615274,-1.0339344
1875-02-01,-0.84260637,-0.5993853,-0.24322104
1875-03-01,-0.9882007,-1.5309225,0.5427218
1875-04-01,-0.17373075,-1.2804796,1.1067488
1875-05-01,-0.3834845,-0.94753593,0.5640514
1875-06-01,-0.013955496,-1.3035308,1.2895753
1875-07-01,0.17505106,-1.5108722,1.6859233
1875-08-01,-0.19764479,-1.1885574,0.9909126
1875-09-01,-0.8857469,-0.17232716,-0.71341974
1875-10-01,-0.19955105,0.38585678,-0.58540785
1875-11-01,0.07919637,0.6200915,-0.5408951
1875-12-01,0.5303465,0.15663151,0.37371498
1876-01-01,-0.068912745,0.14984772,-0.21876046
1876-02-01,0.13717376,0.08413147,0.053042285
1876-03-01,0.13612853,0.14560758,-0.009479046
1876-04-01,-0.4028829,0.0051666014,-0.4080495
1876-05-01,-0.7657824,-0.15812674,-0.60765564
1876-06-01,-1.2553622,-0.64427555,-0.6110866
1876-07-01,-1.7358634,-0.42524317,-1.3106203
1876-08-01,-1.4802142,-0.61830187,-0.86191237
1876-09-01,-1.2988049,-1.6561167,0.35731184
1876-10-01,-1.3592294,-1.3976651,0.038435698
1876-11-01,-1.2005886,-0.90959513,-0.29099345
1876-12-01,-0.3746158,-0.74749815,0.37288237
1877-01-01,0.114887364,-0.64381677,0.7587041
1877-02-01,0.44704074,-0.9767082,1.423749
1877-03-01,-0.012788949,-0.39795503,0.38516608
1877-04-01,-0.72031987,-0.35492113,-0.36539873
1877-05-01,-0.831879,0.18466209,-1.0165411
1877-06-01,0.3013423,0.6087616,-0.3074193
1877-07-01,1.3059248,0.580643,0.7252818
1877-08-01,1.2214117,-1.4884104,2.7098222
1877-09-01,2.2747674,-1.8874451,4.1622124
1877-10-01,2.5455806,-2.3287053,4.8742857
1877-11-01,3.002858,-2.3009977,5.303856
1877-12-01,2.4403543,-0.12073287,2.5610871
1878-01-01,2.1298451,1.0565368,1.0733083
1878-02-01,2.2903905,2.8686059,-0.57821536
1878-03-01,2.575538,1.5877411,0.9877968
1878-04-01,1.2189475,1.3515115,-0.13256395
1878-05-01,0.70112884,1.2737473,-0.5726185
1878-06-01,1.0211697,1.1814483,-0.16027868
1878-07-01,1.0881442,1.1091888,-0.021044612
1878-08-01,1.3970708,0.29366648,1.1034043
1878-09-01,0.04228397,-0.50474113,0.5470251
1878-10-01,0.115311645,0.28970987,-0.17439821
1878-11-01,-0.28416795,0.09798813,-0.38215607
1878-12-01,0.22067338,0.14944677,0.07122661
1879-01-01,0.016389742,-0.17849655,0.1948863
1879-02-01,-0.01497624,0.42330423,-0.43828046
1879-03-01,-0.39302537,0.11163467,-0.50466
1879-04-01,-0.11664131,0.21261668,-0.329258
1879-05-01,-0.41979206,-0.047934715,-0.37185735
1879-06-01,-0.63769084,-0.20145409,-0.43623674
1879-07-01,-0.23782574,0.4656135,-0.70343924
1879-08-01,-1.0361488,0.12353051,-1.1596793
1879-09-01,-1.3767394,0.4143682,-1.7911077
1879-10-01,-1.4681355,-0.22863391,-1.2395016
1879-11-01,-2.2055209,-0.17960732,-2.0259135
1879-12-01,-3.699257,0.19060963,-3.8898666
1880-01-01,-2.7936907,-0.82200134,-1.9716893
1880-02-01,-1.4777822,0.2991005,-1.7768828
1880-03-01,-0.6498416,0.37748706,-1.0273287
1880-04-01,-0.18276034,-0.14694554,-0.035814807
1880-05-01,-0.8385568,-0.1384682,-0.7000886
1880-06-01,-1.5516273,-0.59001184,-0.96161544
1880-07-01,-2.5041819,-0.3408552,-2.1633267
1880-08-01,-0.78156257,0.6949601,-1.4765227
1880-09-01,-1.6065814,0.22677684,-1.8333583
1880-10-01,-1.5771751,-0.14016648,-1.4370086
1880-11-01,-1.2077557,0.40727454,-1.6150303
1880-12-01,-0.57354486,0.40270332,-0.97624815
1881-01-01,-1.1803387,-0.185762,-0.99457675
1881-02-01,-0.61370796,0.24082994,-0.8545379
1881-03-01,-0.6039473,0.71834713,-1.3222945
1881-04-01,0.11358151,1.0341663,-0.9205848
1881-05-01,-0.18400472,1.0757285,-1.2597332
1881-06-01,-0.34081116,0.038473606,-0.37928477
1881-07-01,-0.37009478,0.45387864,-0.8239734
1881-08-01,0.34497997,0.26192158,0.08305839
1881-09-01,-0.1332678,0.081622474,-0.21489027
1881-10-01,0.18369032,-0.011369077,0.1950594
1881-11-01,0.30657446,0.16017969,0.14639477
1881-12-01,-0.24700914,0.71296227,-0.9599714
1882-01-01,-0.03289175,1.038581,-1.0714728
1882-02-01,-0.66511935,0.7688129,-1.4339323
1882-03-01,-0.35485834,0.27215603,-0.6270144
1882-04-01,-0.31127715,0.16598883,-0.47726598
1882-05-01,-0.3945907,-0.15950865,-0.23508206
1882-06-01,-1.390395,-0.7599892,-0.63040584
1882-07-01,-1.1314052,-0.67108005,-0.46032518
1882-08-01,-1.4413329,-0.17291734,-1.2684156
1882-09-01,-0.9668576,0.07779295,-1.0446506
1882-10-01,-0.9846221,0.37423748,-1.3588595
1882-11-01,-0.45742726,-0.1935081,-0.26391917
1882-12-01,-0.430069,-0.3162589,-0.11381009
1883-01-01,-0.50033075,1.0200554,-1.5203862
1883-02-01,0.05029112,-0.11596817,0.16625929
1883-03-01,-0.9696519,-0.25462088,-0.715031
1883-04-01,-0.5789612,-0.54617953,-0.03278166
1883-05-01,-0.13955137,-0.057920523,-0.08163085
1883-06-01,0.4618619,-0.6705658,1.1324277
1883-07-01,-0.015421,-0.55784,0.542419
1883-08-01,-0.67478174,-1.1767062,0.50192446
1883-09-01,-1.0015036,-0.45834377,-0.54315984
1883-10-01,-1.2476839,-0.6030122,-0.6446717
1883-11-01,-1.1293497,-0.49941096,-0.6299387
1883-12-01,-0.9052138,-0.44907,-0.45614377
1884-01-01,-1.4260035,-0.7284601,-0.6975434
1884-02-01,0.004210433,-0.3229241,0.32713455
1884-03-01,-1.0113748,-0.5682988,-0.443076
1884-04-01,-0.52066785,-1.3747867,0.8541189
1884-05-01,-0.43373412,-0.4740611,0.040326983
1884-06-01,-0.96692175,-0.9655643,-0.0013574362
1884-07-01,-0.38076624,-0.61290634,0.2321401
1884-08-01,-0.2957864,-0.38425192,0.08846551
