,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1957-08-01,-0.44,-0.01,0.64,0.3,1.17,0.01,-0.52
1957-09-01,-0.04,-0.2,-0.09,0.5,0.92,-0.58,0.1
1957-10-01,-1.25,-0.99,-0.6,-0.68,-0.98,-0.32,-0.64
1957-11-01,-0.5,-0.17,-0.65,-0.4,-0.57,0.21,-0.66
1957-12-01,-1.98,-0.98,-1.76,-0.95,-2.24,0.12,-0.2
1958-01-01,-1.06,-0.1,-1.81,-0.67,-1.7,-1.48,-1.74
1958-02-01,0.41,1.95,-0.29,-0.16,1.04,0.72,0.11
1958-03-01,0.19,1.42,0.44,-0.17,0.37,1.02,0.9
1958-04-01,-1.54,-1.42,-0.43,-0.36,-1.7,0.39,-1.05
1958-05-01,-0.61,-0.6,-1.03,-0.93,-0.25,0.27,-0.33
1958-06-01,-0.55,0.18,0.4,-0.09,-0.45,0.42,-0.03
1958-07-01,-1.32,-1.72,-1.04,-0.95,-0.98,-1.23,-1.64
1958-08-01,-0.14,-0.61,-0.16,-0.3,-0.23,0.21,-0.52
1958-09-01,-0.34,-0.8,0.51,-0.6,0.12,-0.18,0.1
1958-10-01,0.35,1.21,1.9,0.42,1.72,1.28,1.26
1958-11-01,0.9,1.93,1.05,1.4,0.53,3.21,2.24
1958-12-01,0.02,0.72,0.64,0.65,0.96,1.32,0.5
1959-01-01,-0.46,0.6,0.89,0.93,1.2,0.52,1.46
1959-02-01,-0.99,-1.45,-0.79,0.84,-0.46,1.22,1.01
1959-03-01,-0.31,-0.98,-0.06,0.03,1.17,-0.58,0.6
1959-04-01,-0.44,-0.92,0.07,-0.76,0.8,0.09,0.25
1959-05-01,-2.21,-3.8,-2.63,-2.73,-1.65,-4.03,-3.73
1959-06-01,-1.55,-0.52,-0.6,-0.69,-0.35,0.32,0.97
1959-07-01,-1.02,0.08,0.36,-0.15,-0.28,-0.13,0.46
1959-08-01,-0.04,0.19,0.54,0.0,-0.03,-0.29,0.18
1959-09-01,0.36,0.2,-0.19,-0.1,0.12,0.62,0.8
1959-10-01,-0.35,-2.39,-1.8,-1.28,-0.28,-1.82,-1.14
1959-11-01,0.3,0.83,-0.55,0.6,-0.57,2.51,1.64
1959-12-01,0.22,0.42,0.64,0.95,2.06,-1.08,-1.4
1960-01-01,-0.76,0.3,0.09,2.33,-0.1,1.52,1.66
1960-02-01,-1.09,-1.35,-0.89,0.04,0.24,-0.08,-0.39
1960-03-01,-1.71,-2.18,-1.46,-1.37,0.47,-1.98,-1.1
1960-04-01,-0.84,-1.52,-0.43,-0.16,0.8,-0.61,-0.15
1960-05-01,-0.11,-0.4,-0.03,-0.43,1.55,0.17,-0.23
1960-06-01,-0.35,-0.32,-0.2,-0.49,0.75,-0.78,-0.43
1960-07-01,-0.62,0.18,0.16,-0.65,1.02,0.77,1.26
1960-08-01,-0.34,-0.91,-0.96,-1.3,0.37,-0.99,-0.92
1960-09-01,-0.64,-1.1,-0.39,-0.5,1.02,-1.48,-1.4
